Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2007-01-01,0.743,4.871
2007-01-02,0.343,3.971
2007-01-04,0.350,4.625
2007-01-05,0.444,4.989
2007-01-06,0.525,2.562
2007-01-07,0.200,4.100
2007-01-08,0.400,5.030
2007-01-09,0.500,6.125
2007-01-10,0.950,4.150
2007-01-11,0.909,4.573
2007-01-13,0.644,1.311
2007-01-14,0.785,3.685
2007-01-15,0.600,2.283
2007-01-17,0.700,2.800
2007-01-18,1.000,4.780
2007-01-19,0.200,1.000
2007-02-02,0.667,1.767
2007-02-03,0.733,1.350
2007-02-04,0.320,0.420
2007-02-05,0.200,1.267
2007-02-17,0.200,1.250
2007-02-18,0.300,0.550
2007-03-01,0.200,1.300
2007-03-02,0.343,2.429
2007-03-03,0.200,1.200
2007-03-06,0.250,0.975
2007-03-07,0.333,2.600
2007-03-09,0.333,1.433
2007-03-10,0.500,1.350
2007-03-11,0.686,2.114
2007-03-12,0.200,3.700
2007-03-17,0.386,1.193
2007-03-18,1.067,1.867
2007-03-19,0.320,2.180
2007-03-21,0.400,3.550
2007-03-22,0.200,4.000
2007-03-28,0.200,3.800
2007-04-03,0.200,3.450
2007-04-19,1.343,3.971
2007-04-20,0.311,3.411
2007-04-21,0.758,2.579
2007-04-23,0.412,3.965
2007-04-27,2.800,7.500
2007-05-02,0.200,4.250
2007-05-07,0.733,9.500
2007-05-09,0.200,6.500
2007-05-11,0.600,5.925
2007-05-14,0.467,13.667
2007-05-15,0.956,11.756
2007-05-22,1.320,16.380
2007-05-26,1.150,15.175
2007-05-27,0.200,14.150
2007-05-28,0.533,17.567
2007-05-29,0.200,18.700
2007-05-30,1.467,19.883
2007-05-31,0.200,21.000
2007-06-12,0.200,21.200
2007-06-14,1.800,13.500
2007-06-17,0.800,13.786
2007-06-18,0.200,13.300
2007-06-22,0.200,19.100
2007-06-26,0.800,15.700
2007-06-27,1.200,14.450
2007-06-28,0.700,12.750
2007-06-29,4.650,14.050
2007-07-01,0.200,15.100
2007-07-04,0.200,18.433
2007-07-06,0.200,16.400
2007-07-08,0.200,14.500
2007-07-09,0.200,15.100
2007-07-10,0.200,15.200
2007-07-11,1.143,13.800
2007-07-13,0.700,15.550
2007-07-15,0.200,17.850
2007-07-17,0.400,19.200
2007-07-19,0.800,15.750
2007-07-23,0.267,15.100
2007-07-24,1.086,15.114
2007-07-25,1.229,16.443
2007-07-27,0.200,17.150
2007-07-28,0.200,15.300
2007-07-29,3.600,13.600
2007-07-30,1.083,13.617
2007-07-31,0.215,14.562
2007-08-01,0.200,19.300
2007-08-02,0.200,18.900
2007-08-03,0.200,19.600
2007-08-04,0.200,16.900
2007-08-08,0.200,22.600
2007-08-09,0.200,23.460
2007-08-12,0.200,22.000
2007-08-16,0.200,18.600
2007-08-17,2.400,19.233
2007-08-18,0.700,16.100
2007-08-21,0.800,22.000
2007-08-22,0.533,20.967
2007-08-25,0.200,22.300
2007-08-30,0.440,10.200
2007-08-31,1.142,9.200
2007-09-01,1.129,10.471
2007-09-02,0.475,14.756
2007-09-03,0.642,12.933
2007-09-04,0.575,12.375
2007-09-05,0.200,7.700
2007-09-06,0.200,13.700
2007-09-08,0.200,10.783
2007-09-10,0.200,9.350
2007-09-11,0.200,8.500
2007-09-12,1.700,12.200
2007-09-13,0.691,10.773
2007-09-14,0.200,12.800
2007-09-15,0.714,11.143
2007-09-16,0.240,9.240
2007-09-17,0.425,12.438
2007-09-18,0.743,10.814
2007-09-19,0.629,9.529
2007-09-20,0.457,12.900
2007-09-21,0.800,13.050
2007-09-22,0.560,14.040
2007-09-23,0.200,12.700
2007-09-25,0.600,15.650
2007-11-15,0.400,2.900
2007-11-16,1.220,3.040
2007-11-18,0.300,0.400
2007-11-23,0.680,3.940
2007-11-25,0.467,2.544
2007-11-26,0.500,1.350
2007-11-27,0.300,1.350
2007-11-29,0.405,0.233
2007-11-30,0.200,-1.000
2007-12-02,0.655,1.473
2007-12-03,0.536,2.164
2007-12-04,0.388,4.575
2007-12-05,0.400,4.850
2007-12-06,0.200,6.200
2007-12-07,1.062,4.662
2007-12-08,0.575,5.537
2007-12-10,0.300,4.333
2007-12-24,0.200,2.400
2007-12-25,0.229,4.100
2007-12-26,0.200,1.000
2007-12-28,0.480,4.420
