Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2008-01-01,0.233,-0.433
2008-01-06,0.625,-4.025
2008-01-07,0.722,-4.011
2008-01-08,0.300,-1.800
2008-01-09,0.225,0.200
2008-01-10,0.400,0.950
2008-01-11,0.217,2.533
2008-01-12,0.400,3.167
2008-01-13,0.700,3.200
2008-01-14,0.350,2.800
2008-01-17,0.433,1.867
2008-01-18,0.250,1.750
2008-01-19,1.088,3.435
2008-01-20,0.700,3.400
2008-01-21,0.417,1.983
2008-01-23,0.350,-0.100
2008-01-24,1.300,0.133
2008-01-25,1.333,2.733
2008-01-30,0.450,3.350
2008-01-31,0.100,1.700
2008-02-01,0.460,0.820
2008-02-02,0.440,2.220
2008-02-03,0.514,2.314
2008-02-05,0.250,2.350
2008-02-06,0.613,2.375
2008-02-07,0.440,1.940
2008-02-08,0.200,3.300
2008-02-10,1.350,3.200
2008-02-11,0.200,2.500
2008-02-17,0.300,3.500
2008-02-21,0.200,2.300
2008-02-22,2.356,2.167
2008-02-23,0.300,1.000
2008-02-24,0.367,3.717
2008-02-26,0.643,3.171
2008-02-27,0.717,4.544
2008-02-28,0.167,1.267
2008-02-29,0.400,2.167
2008-03-01,0.275,1.475
2008-03-02,0.325,0.942
2008-03-03,0.325,0.175
2008-03-04,0.350,-1.250
2008-03-05,0.267,-2.700
2008-03-06,0.275,0.750
2008-03-08,0.433,1.500
2008-03-12,0.500,3.240
2008-03-13,0.529,2.800
2008-03-15,0.167,1.200
2008-03-16,0.500,-0.500
2008-03-19,0.400,-0.150
2008-03-20,0.533,-2.100
2008-03-22,0.220,-0.360
2008-03-23,0.220,-2.660
2008-03-24,0.240,-2.320
2008-03-26,0.962,-2.438
2008-04-06,0.267,6.100
2008-04-07,0.300,5.100
2008-04-08,0.693,5.707
2008-04-09,0.200,3.050
2008-04-12,1.113,5.088
2008-04-13,0.491,5.845
2008-04-17,0.333,5.200
2008-04-18,0.200,5.000
2008-05-02,0.200,11.600
2008-05-03,4.400,11.000
2008-05-05,0.200,9.700
2008-05-07,0.200,6.600
2008-05-12,0.700,10.850
2008-05-15,0.300,7.000
2008-05-18,0.533,9.567
2008-05-19,0.500,6.800
2008-05-27,0.100,9.700
2008-06-14,1.300,13.140
2008-06-17,1.329,12.529
2008-06-20,1.250,15.150
2008-06-21,0.400,16.300
2008-06-22,1.100,12.000
2008-06-23,4.343,13.771
2008-06-24,0.883,13.417
2008-06-28,0.850,13.925
2008-06-29,0.600,16.167
2008-06-30,0.940,14.300
2008-07-01,6.050,12.350
2008-07-03,0.200,16.000
2008-07-06,0.900,13.500
2008-07-07,0.717,14.483
2008-07-08,2.175,14.200
2008-07-12,0.400,17.533
2008-07-14,1.075,14.583
2008-07-16,0.200,18.800
2008-07-17,0.700,16.040
2008-07-21,0.400,18.350
2008-07-22,2.050,18.650
2008-08-01,0.300,18.150
2008-08-02,0.275,17.700
2008-08-03,0.857,17.871
2008-08-04,2.225,16.975
2008-08-05,2.050,14.375
2008-08-07,0.150,15.050
2008-08-08,1.322,17.244
2008-08-09,0.200,16.600
2008-08-10,1.300,15.950
2008-08-11,0.383,15.800
2008-08-12,1.917,17.583
2008-08-13,3.125,17.675
2008-08-16,0.327,16.055
2008-08-18,0.200,16.200
2008-08-19,0.967,15.100
2008-08-20,4.050,17.050
2008-08-23,0.300,14.700
2008-08-24,0.864,14.618
2008-08-25,0.600,15.967
2008-08-27,0.656,14.411
2008-08-28,2.000,15.500
2008-08-29,0.771,12.914
2008-08-30,0.200,11.500
2008-09-02,0.478,13.989
2008-09-04,1.667,12.967
2008-09-06,0.700,14.550
2008-09-07,0.400,15.967
2008-09-08,1.781,13.669
2008-09-09,1.521,13.271
2008-09-10,0.540,11.640
2008-09-13,0.300,9.600
