Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2010-10-10,1.200,6.800
2010-10-12,1.450,3.550
2010-10-14,0.911,4.044
2010-10-15,0.278,0.611
2010-10-16,0.250,0.200
2010-10-19,0.367,4.500
2010-10-20,0.658,4.474
2010-10-21,0.383,3.717
2010-10-22,0.800,0.463
2010-10-23,1.020,3.800
2010-10-24,0.571,5.629
2010-10-25,0.671,6.400
2010-10-28,0.600,3.933
2010-10-29,0.367,6.233
2010-11-02,0.433,4.100
2010-11-03,0.608,7.408
2010-11-04,0.200,7.000
2010-11-06,0.375,2.075
2010-11-07,0.200,-0.100
2010-11-08,0.600,-0.300
2010-11-09,0.638,1.015
2010-11-10,0.750,4.550
2010-11-11,0.233,4.117
2010-11-12,0.413,3.500
2010-11-13,0.411,6.089
2010-11-14,0.250,4.800
2010-11-15,0.300,6.362
2010-11-16,0.180,3.400
2010-11-17,0.700,-0.050
2010-11-18,0.690,1.176
2010-11-19,0.438,1.875
2010-11-20,0.353,1.394
2010-11-21,0.239,0.661
2010-11-22,0.283,0.000
2010-11-23,0.592,-1.225
2010-11-24,0.350,-2.250
2010-11-25,0.200,-5.600
2010-11-26,0.200,-8.650
2010-11-30,0.200,-18.200
2010-12-01,0.200,-7.350
2010-12-03,0.150,-12.650
2010-12-04,0.350,-5.450
2010-12-05,0.225,-2.450
2010-12-06,0.200,-7.083
2010-12-07,0.400,-1.120
2010-12-08,0.400,-0.600
2010-12-09,0.633,-4.113
2010-12-10,0.273,-4.609
2010-12-11,0.445,-4.536
2010-12-12,0.455,-5.500
2010-12-14,0.275,-3.675
2010-12-18,0.320,-13.580
2010-12-19,0.200,-11.267
2010-12-20,0.200,-10.400
2010-12-21,0.250,-7.650
2010-12-22,0.240,-7.960
2010-12-23,0.200,-12.600
2010-12-24,0.533,-9.600
2010-12-25,0.622,-8.733
2010-12-26,0.243,-7.229
2010-12-27,0.225,-6.550
2010-12-28,0.360,-7.310
2010-12-29,0.250,-10.100
2010-12-30,0.525,-10.675
2010-12-31,0.256,-11.022
2011-01-01,0.318,-4.573
2011-01-02,0.150,-9.050
2011-01-03,0.233,-9.567
2011-01-04,0.427,-5.973
2011-01-05,0.322,-5.878
2011-01-06,0.700,-5.767
2011-01-07,0.790,-5.780
2011-01-09,0.850,1.700
2011-01-10,0.150,2.750
2011-01-12,0.470,-0.850
2011-01-13,0.278,-0.256
2011-01-15,1.800,-7.500
2011-01-16,0.617,-8.017
2011-01-17,0.775,-1.850
2011-01-18,0.229,0.371
2011-01-19,0.250,0.200
2011-01-20,0.300,-2.455
2011-01-21,0.289,-5.844
2011-01-22,0.300,-8.500
2011-01-24,0.333,-3.833
2011-01-25,0.348,-4.343
2011-01-26,0.333,-7.033
2011-01-28,0.167,-3.133
2011-01-29,0.322,-0.344
2011-01-30,0.200,-1.900
2011-02-01,0.200,0.400
2011-02-02,0.458,0.308
2011-02-03,0.517,0.350
2011-02-04,0.500,0.075
2011-02-05,0.300,0.317
2011-02-08,0.637,0.112
2011-02-11,0.220,-7.280
2011-02-12,0.325,-13.825
2011-02-26,0.233,-9.767
2011-03-04,0.625,-1.025
2011-03-05,0.367,-0.767
2011-03-06,0.200,-2.700
2011-03-10,0.150,-0.500
2011-03-11,0.470,0.490
2011-03-12,0.500,0.800
2011-03-19,0.289,-0.678
2011-03-20,0.200,-1.100
2011-03-21,0.250,0.300
2011-03-25,0.550,-3.375
2011-03-26,0.200,-2.700
2011-03-28,0.400,-0.860
2011-03-29,0.657,-0.586
2011-03-30,0.200,-0.950
2011-04-01,0.300,2.000
2011-04-06,0.362,3.513
2011-04-07,0.533,3.967
2011-04-08,0.175,0.525
2011-04-16,0.300,5.380
2011-04-20,0.400,4.700
2011-05-12,3.000,15.500
2011-05-13,0.300,11.750
2011-05-14,0.400,8.643
2011-05-16,1.133,9.256
2011-05-17,0.220,10.120
2011-05-18,0.680,9.440
2011-05-23,2.575,14.075
2011-05-24,0.500,9.900
2011-05-25,0.633,9.067
2011-05-27,0.300,14.100
2011-05-30,0.200,11.100
2011-06-13,0.817,17.050
2011-06-14,1.100,13.533
2011-06-15,0.400,15.100
2011-06-17,2.560,14.040
2011-06-18,1.700,13.350
2011-06-19,1.250,15.200
2011-06-20,0.800,14.450
2011-06-24,1.500,13.500
2011-06-25,1.333,13.600
2011-07-05,1.300,16.100
2011-07-09,5.950,20.100
2011-07-12,0.460,19.320
2011-07-15,1.350,17.100
2011-07-19,0.200,17.900
2011-07-23,0.567,19.833
2011-07-24,0.350,16.850
2011-07-26,0.350,21.300
2011-07-29,0.400,21.500
2011-07-30,1.967,18.700
2011-08-06,0.350,15.950
2011-08-07,0.400,19.000
2011-08-08,1.317,16.200
2011-08-09,0.750,16.017
2011-08-10,0.925,14.050
