Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2004-03-21,0.514,0.771
2004-03-22,0.480,0.373
2004-03-24,0.800,0.600
2004-03-25,0.684,0.321
2004-03-26,0.267,0.000
2004-03-28,0.200,0.400
2004-03-31,5.200,3.500
2004-04-01,0.200,-2.700
2004-04-10,0.700,3.375
2004-04-11,0.667,2.100
2004-04-12,0.200,-0.800
2004-04-14,0.200,5.900
2004-04-22,0.425,5.338
2004-04-28,0.200,3.550
2004-05-04,0.200,16.400
2004-05-09,0.400,17.600
2004-05-14,0.600,4.600
2004-05-15,0.900,6.775
2004-05-18,0.500,10.467
2004-05-19,0.200,13.300
2004-05-20,0.200,7.750
2004-05-21,0.200,8.700
2004-05-23,0.700,5.233
2004-05-24,0.300,8.900
2004-05-25,0.400,8.600
2004-05-28,0.667,11.550
2004-05-29,0.333,10.067
2004-05-30,0.571,7.000
2004-05-31,0.575,7.213
2004-06-02,0.200,8.200
2004-06-04,0.300,11.300
2004-06-05,1.400,21.000
2004-06-06,0.900,13.825
2004-06-07,2.933,12.233
2004-06-08,0.900,9.192
2004-06-12,0.571,13.543
2004-06-13,0.200,10.900
2004-06-14,0.333,12.200
2004-06-16,0.733,9.500
2004-06-17,0.267,10.500
2004-06-18,0.450,10.325
2004-06-19,0.400,14.000
2004-06-20,0.300,14.350
2004-06-21,2.017,11.733
2004-06-22,1.091,11.282
2004-06-23,1.250,11.925
2004-06-24,0.900,16.350
2004-06-25,0.600,14.400
2004-06-27,1.050,13.400
2004-06-28,1.320,13.720
2004-06-29,0.571,13.329
2004-06-30,3.046,13.308
2004-07-02,0.200,14.400
2004-07-03,0.800,14.175
2004-07-05,0.933,12.067
2004-07-06,3.160,12.740
2004-07-07,1.733,16.633
2004-07-10,0.333,15.767
2004-07-11,2.800,13.450
2004-07-12,0.600,15.667
2004-07-13,0.200,15.650
2004-07-14,0.400,16.400
2004-07-23,0.200,20.600
2004-07-24,0.300,22.050
2004-07-29,2.227,15.560
2004-07-30,2.233,16.833
2004-07-31,0.760,18.440
2004-08-01,0.200,14.800
2004-08-02,0.880,18.200
2004-08-11,2.000,16.550
2004-08-12,0.533,12.467
2004-08-13,0.400,12.200
2004-08-14,1.000,10.744
2004-08-15,2.200,13.200
2004-08-17,2.025,16.575
2004-08-18,0.200,16.800
2004-08-20,0.433,17.383
2004-08-21,1.543,14.329
2004-08-22,0.650,15.725
2004-08-23,0.550,14.525
2004-08-24,0.300,16.450
2004-08-26,0.875,10.938
2004-08-27,1.040,14.460
2004-08-28,0.200,12.600
2004-08-30,0.900,15.300
2004-08-31,1.100,16.200
2004-09-01,0.480,16.210
2004-09-02,1.950,13.735
2004-09-03,0.200,15.900
2004-09-06,1.100,14.625
2004-09-07,4.100,8.000
2004-09-08,0.920,8.680
2004-09-12,0.360,13.320
2004-09-13,0.933,14.117
2004-09-14,0.300,14.750
2004-09-15,3.650,14.050
2004-09-16,1.089,9.700
2004-09-18,0.543,12.071
2004-09-19,0.200,12.400
2004-09-21,0.700,11.740
2004-09-22,0.714,10.986
2004-09-23,0.960,9.440
2004-09-24,0.200,9.550
2004-09-25,1.280,9.770
2004-09-26,0.200,8.400
2004-09-27,0.371,10.629
2004-09-28,0.578,10.978
2004-09-29,0.200,11.250
2004-09-30,0.200,4.900
2004-10-06,0.400,13.867
2004-10-07,0.200,7.600
2004-10-08,0.600,8.450
2004-10-09,1.100,6.650
2004-10-10,0.700,1.450
2004-10-17,0.200,7.000
2004-10-18,0.675,6.300
2004-10-19,0.520,4.695
2004-10-20,0.378,3.789
2004-10-21,0.300,2.900
2004-10-22,0.800,5.067
2004-10-23,1.629,8.286
2004-10-25,1.300,5.250
2004-10-26,1.080,8.300
2004-10-27,0.900,7.275
2004-10-31,0.200,0.100
2004-11-04,0.200,4.900
2004-11-05,0.457,5.629
2004-11-06,0.633,4.717
2004-11-07,0.345,4.100
2004-11-08,0.200,4.300
2004-11-12,0.267,7.433
2004-11-13,0.689,5.167
2004-11-14,0.200,2.300
2004-11-15,0.800,5.600
2004-11-16,1.000,1.025
2004-11-17,0.200,0.300
2004-11-30,0.200,0.400
2004-12-02,0.329,-0.307
2004-12-03,0.350,-0.100
2004-12-04,0.200,0.600
2004-12-05,0.491,2.355
2004-12-06,0.257,1.414
2004-12-07,0.240,1.700
2004-12-08,0.250,1.475
2004-12-09,0.200,0.040
2004-12-12,0.200,2.600
2004-12-15,0.300,0.150
2004-12-16,0.350,3.275
2004-12-18,0.200,0.250
2004-12-19,0.317,-0.475
2004-12-20,0.200,-1.200
2004-12-22,0.600,-5.500
2004-12-24,0.200,0.600
2004-12-26,0.200,0.600
2004-12-30,0.267,0.567
2004-12-31,0.400,1.000
2005-01-02,0.200,0.100
2005-01-03,0.200,-0.200
2005-01-04,0.200,0.000
2005-01-05,0.200,-0.020
2005-01-06,0.462,0.323
2005-01-07,0.400,2.636
2005-01-08,0.491,4.109
2005-01-09,0.511,1.911
2005-01-10,0.300,1.890
2005-01-12,1.200,4.033
2005-01-13,0.400,2.780
2005-01-14,0.415,0.615
2005-01-16,0.875,0.475
2005-03-21,0.200,-2.700
2005-03-22,0.250,-4.075
2005-03-25,0.200,3.450
2005-03-26,0.200,1.600
2005-04-07,0.300,5.450
2005-04-08,0.371,4.743
2005-04-09,0.815,4.754
2005-04-10,0.200,3.000
2005-04-11,0.440,3.660
2005-04-20,0.200,-3.000
2005-04-21,0.360,-0.900
2005-04-22,0.200,-2.000
2005-04-30,0.300,2.000
2005-05-02,0.200,2.000
2005-05-03,0.511,6.489
2005-05-04,0.275,6.662
2005-05-07,0.200,9.625
2005-05-08,0.200,9.800
2005-05-09,0.200,10.050
2005-05-10,0.200,7.333
2005-05-11,0.200,6.987
2005-05-12,0.200,10.700
2005-05-13,0.200,8.350
2005-05-27,10.800,19.600
2005-05-31,1.914,9.943
2005-06-01,0.525,7.925
2005-06-04,0.733,13.450
2005-06-05,0.760,13.720
2005-06-06,0.667,12.067
2005-06-07,0.200,12.600
2005-06-11,1.250,15.650
2005-06-12,4.400,13.312
2005-06-13,1.150,12.425
2005-06-25,1.560,13.400
2005-06-27,0.600,13.800
2005-06-28,0.550,12.575
2005-06-29,0.720,10.460
2005-07-01,1.000,13.900
2005-07-17,2.525,18.812
2005-07-19,1.044,16.500
2005-07-20,0.320,16.800
2005-07-22,1.111,16.211
2005-07-23,0.760,15.600
2005-07-24,1.150,17.150
2005-07-25,0.500,19.050
2005-07-26,0.857,17.557
2005-07-27,0.400,16.300
2005-07-28,2.300,20.350
2005-07-29,1.400,15.600
2005-07-30,1.640,16.320
2005-07-31,0.775,17.562
2005-08-01,2.800,17.900
2005-08-02,0.300,17.125
2005-08-05,2.600,16.444
2005-08-06,3.350,16.100
2005-08-07,0.200,20.000
2005-08-08,1.900,15.550
2005-08-09,1.080,18.140
2005-08-10,0.705,13.316
2005-08-11,0.333,14.567
2005-08-12,0.846,15.862
2005-08-13,0.350,15.225
2005-08-14,0.300,14.400
2005-08-15,0.450,16.925
2005-08-16,0.200,8.600
2005-08-21,0.900,15.800
2005-08-22,0.250,14.700
2005-08-23,0.200,12.400
2005-08-24,0.200,12.900
2005-08-26,1.250,14.975
2005-08-27,3.050,14.850
2005-08-28,1.200,12.400
2005-08-29,0.400,15.950
2005-08-30,0.600,15.200
2005-09-03,0.200,12.800
2005-09-04,0.400,14.900
2005-09-07,0.200,18.800
2005-09-12,1.175,12.662
2005-09-14,0.267,13.300
2005-09-15,0.333,13.167
2005-09-16,0.450,7.925
2005-09-17,0.400,9.833
2005-09-19,0.200,10.400
2005-09-20,0.200,12.700
2005-09-22,0.200,8.200
2005-09-23,0.200,12.000
2005-09-28,1.000,15.200
2005-09-29,0.200,13.000
2005-09-30,1.127,11.618
2005-10-05,0.200,7.000
2005-10-06,0.200,9.800
2005-10-09,0.200,6.400
2005-10-12,0.200,9.200
2005-10-13,0.200,13.600
2005-10-14,0.800,9.000
2005-10-15,0.647,6.188
2005-10-16,0.514,6.629
2005-10-17,0.200,5.500
2005-10-21,0.267,7.633
2005-10-22,1.025,9.300
2005-10-23,0.743,9.114
2005-10-24,0.267,2.983
2005-10-25,0.400,3.450
2005-10-27,0.314,1.214
2005-11-04,0.800,7.100
2005-11-05,0.400,6.283
2005-11-06,0.433,6.300
2005-11-07,0.320,8.480
2005-11-11,0.320,6.220
2005-11-13,0.286,7.871
2005-11-14,0.800,6.492
2005-11-15,0.517,6.450
2005-11-16,0.200,0.100
2005-11-17,1.133,0.833
2005-11-18,0.200,1.100
