Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2009-09-10,0.233,14.967
2009-09-14,0.400,13.075
2009-09-21,0.500,15.400
2009-09-22,0.250,15.175
2009-09-24,2.700,11.600
2009-09-25,0.500,10.050
2009-09-28,2.340,13.200
2009-09-29,1.217,6.517
2009-09-30,0.725,9.450
2009-10-01,1.525,6.925
2009-10-02,1.500,7.150
2009-10-03,1.525,9.725
2009-10-04,1.783,11.158
2009-10-05,0.400,8.600
2009-10-07,0.557,11.486
2009-10-08,1.100,10.700
2009-10-09,0.600,7.080
2009-10-12,1.258,2.900
2009-10-15,0.357,4.129
2009-10-16,2.300,4.500
2009-10-17,0.457,3.414
2009-10-18,0.874,4.768
2009-10-19,0.454,7.715
2009-10-20,0.200,9.000
2009-10-21,0.600,6.900
2009-10-22,0.458,6.208
2009-10-23,0.220,6.580
2009-10-25,0.522,6.633
2009-10-26,0.375,9.100
2009-10-27,0.433,9.078
2009-10-31,0.200,3.500
2009-11-02,0.300,3.100
2009-11-05,0.271,0.300
2009-11-06,0.418,1.518
2009-11-09,0.433,1.467
2009-11-10,0.318,2.191
2009-11-12,0.450,0.233
2009-11-16,0.300,5.000
2009-11-17,0.333,5.517
2009-11-18,0.650,7.100
2009-11-19,0.383,6.350
2009-11-20,0.537,7.112
2009-11-22,0.460,6.540
2009-11-23,0.500,6.650
2009-11-24,0.500,6.260
2009-11-25,0.400,6.250
2009-11-26,0.443,6.900
2009-11-27,0.600,6.329
2009-11-28,0.480,5.800
2009-11-29,0.600,4.100
2009-12-01,0.344,6.089
2009-12-02,0.783,3.822
2009-12-03,0.512,3.600
2009-12-04,0.650,4.450
2009-12-11,0.200,1.250
2009-12-12,0.300,0.100
2009-12-13,0.486,-0.214
2009-12-14,0.500,-4.550
2009-12-16,0.448,-9.062
2009-12-17,0.433,-11.083
2009-12-20,0.412,-9.487
2009-12-21,0.200,-10.900
2009-12-22,1.157,-2.857
2009-12-23,0.850,-1.425
2009-12-25,0.950,-0.500
2009-12-26,0.357,0.329
2009-12-27,0.500,0.733
2009-12-28,0.300,1.300
2009-12-29,0.314,-0.895
2009-12-30,0.264,-3.327
2009-12-31,0.200,-6.930
2010-01-03,0.233,-1.600
2010-01-04,0.300,-0.467
2010-01-05,0.386,-2.300
2010-01-06,0.700,-2.720
2010-01-07,0.233,-9.017
2010-01-12,0.200,-3.800
2010-01-13,0.250,-3.900
2010-01-28,0.283,-12.200
2010-01-29,0.250,-10.050
2010-01-30,0.560,-4.090
2010-01-31,0.540,-2.080
2010-02-01,0.918,-4.636
2010-02-02,0.378,-4.878
2010-02-04,0.200,-3.300
2010-02-09,0.200,-9.600
2010-02-12,0.438,-6.300
2010-02-13,0.360,-6.100
2010-02-19,1.337,-6.287
2010-02-20,0.453,-13.273
2010-02-21,0.243,-7.786
2010-02-23,1.000,-1.993
2010-02-27,0.650,0.650
2010-02-28,0.367,0.433
2010-03-01,0.200,0.850
2010-03-02,0.356,-0.911
2010-03-03,0.175,-4.000
2010-03-04,0.167,-3.600
2010-03-08,0.300,-0.800
2010-03-09,0.200,-0.500
2010-03-12,0.300,-0.825
2010-03-15,0.400,-7.600
2010-03-16,2.150,-5.450
2010-03-18,0.300,0.067
2010-03-19,0.200,1.300
2010-03-21,0.463,1.075
2010-03-23,0.609,0.436
2010-03-26,0.100,2.400
2010-03-27,0.575,2.725
2010-03-28,0.637,1.325
2010-03-29,0.300,1.500
2010-04-01,0.512,1.500
2010-04-02,0.650,1.883
2010-04-03,0.459,2.673
2010-04-05,0.600,4.550
2010-04-06,0.350,3.700
