Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2004-03-20,0.520,2.800
2004-03-21,0.267,0.817
2004-03-22,0.338,0.608
2004-03-25,0.733,0.089
2004-03-26,0.200,0.350
2004-03-28,0.200,1.950
2004-04-11,0.200,5.600
2004-04-20,0.400,6.800
2004-04-21,0.200,3.850
2004-04-22,0.844,2.878
2004-04-29,0.300,4.700
2004-05-14,0.267,5.167
2004-05-15,1.000,7.200
2004-05-18,0.720,10.740
2004-05-20,0.600,7.400
2004-05-21,0.200,5.700
2004-05-23,0.400,7.200
2004-05-24,0.300,8.950
2004-05-28,2.400,11.350
2004-05-29,0.400,11.950
2004-05-30,0.686,7.057
2004-05-31,1.200,7.100
2004-06-04,0.600,10.600
2004-06-06,1.000,14.700
2004-06-07,1.650,12.512
2004-06-08,0.360,9.720
2004-06-11,0.350,12.875
2004-06-12,3.286,14.200
2004-06-14,0.733,12.900
2004-06-16,0.200,11.050
2004-06-18,0.200,12.800
2004-06-19,0.800,13.450
2004-06-20,0.500,14.300
2004-06-21,0.833,12.250
2004-06-22,0.600,12.360
2004-06-23,1.933,11.400
2004-06-24,1.100,15.633
2004-06-25,1.100,15.700
2004-06-26,0.200,13.700
2004-06-27,0.683,14.133
2004-06-28,0.800,14.450
2004-06-29,0.520,14.260
2004-06-30,0.744,13.817
2004-07-01,0.200,13.850
2004-07-02,0.300,14.300
2004-07-03,0.683,13.800
2004-07-04,1.000,18.700
2004-07-06,0.650,16.525
2004-07-07,1.200,14.800
2004-07-10,0.800,15.614
2004-07-11,0.400,14.933
2004-07-12,0.600,12.900
2004-07-13,2.171,15.114
2004-07-14,0.300,15.900
2004-07-20,0.200,17.000
2004-07-25,0.200,18.600
2004-07-28,0.400,15.500
2004-07-29,1.633,16.244
2004-07-30,0.733,17.833
2004-07-31,0.933,18.117
2004-08-11,3.000,17.100
2004-08-12,3.200,14.600
2004-08-13,0.533,12.000
2004-08-14,0.450,13.525
2004-08-15,3.200,14.500
2004-08-17,0.700,17.117
2004-08-18,4.680,17.900
2004-08-20,0.700,19.100
2004-08-21,0.800,15.614
2004-08-22,5.800,16.500
2004-08-23,0.400,13.400
2004-08-24,0.250,10.275
2004-08-25,0.800,11.100
2004-08-26,0.686,12.614
2004-08-27,0.360,14.380
2004-08-31,1.160,17.160
2004-09-01,1.600,16.280
2004-09-02,0.906,13.947
2004-09-03,0.200,13.900
2004-09-06,0.500,15.700
2004-09-07,2.500,12.000
2004-09-08,0.200,10.900
2004-09-10,0.800,14.100
2004-09-12,0.200,11.900
2004-09-13,0.600,14.614
2004-09-15,0.200,14.700
2004-09-16,1.500,10.250
2004-09-18,0.200,13.700
2004-09-19,1.000,11.200
2004-09-21,0.683,12.117
2004-09-22,0.760,11.420
2004-09-23,0.400,10.425
2004-09-25,0.800,10.178
2004-09-26,0.300,10.400
2004-09-27,0.286,11.329
2004-09-28,0.667,11.217
2004-09-29,0.333,10.367
2004-10-06,0.400,13.750
2004-10-07,0.500,9.000
2004-10-08,0.600,8.850
2004-10-09,0.520,7.920
2004-10-10,1.320,2.940
2004-10-16,0.200,4.700
2004-10-17,0.400,7.450
2004-10-18,0.686,7.343
2004-10-19,0.338,6.431
2004-10-20,0.320,5.520
2004-10-22,0.600,5.283
2004-10-23,1.200,9.400
2004-10-24,1.400,5.800
2004-10-25,1.250,6.600
2004-10-26,0.200,7.000
2004-10-27,0.550,9.225
2004-11-05,0.480,6.820
2004-11-06,0.350,5.525
2004-11-07,0.450,5.450
2004-11-12,0.360,7.800
2004-11-13,0.950,5.713
2004-11-14,0.267,2.067
2004-11-15,1.350,5.862
2004-11-16,0.933,3.267
2004-11-19,0.250,-2.475
2004-11-30,0.400,-0.233
2004-12-02,0.400,0.430
2004-12-03,0.240,1.000
2004-12-04,0.200,1.650
2004-12-05,0.400,3.443
2004-12-06,0.550,2.825
2004-12-07,0.200,4.167
2004-12-08,0.267,2.567
2004-12-16,0.300,4.575
2004-12-19,0.345,0.373
2004-12-20,0.323,-0.823
2004-12-21,0.200,-2.725
2004-12-22,0.200,-1.500
2004-12-23,0.300,0.350
2004-12-24,0.200,0.400
2004-12-26,0.200,1.000
2004-12-29,0.400,-0.600
2004-12-30,0.378,1.711
2004-12-31,0.200,2.500
2005-01-02,0.200,0.650
2005-01-04,0.400,0.250
2005-01-05,0.400,0.558
2005-01-06,0.629,2.014
2005-01-07,0.367,4.125
2005-01-08,0.450,5.058
2005-01-09,0.567,2.389
2005-01-10,0.486,4.200
2005-01-11,0.600,7.375
2005-01-12,0.600,5.200
2005-01-13,0.333,3.733
2005-01-14,0.229,1.514
2005-01-16,0.600,0.843
2005-04-07,0.200,5.900
2005-04-08,0.200,7.500
2005-04-09,0.517,2.650
2005-04-11,0.333,4.133
2005-04-20,0.200,0.200
2005-04-21,0.200,-0.200
2005-04-30,0.200,3.000
2005-05-01,0.400,2.000
2005-05-03,0.764,6.927
2005-05-04,0.333,6.033
2005-05-08,0.200,8.350
2005-05-10,0.914,6.157
2005-05-11,0.950,6.175
2005-05-13,0.429,8.014
2005-05-14,0.560,7.560
2005-05-16,1.450,9.950
2005-05-17,0.960,6.780
2005-05-18,2.086,7.257
2005-05-19,0.480,9.520
2005-05-24,4.000,16.400
2005-05-26,0.200,12.050
2005-05-27,0.200,18.400
2005-05-31,2.629,9.343
2005-06-01,0.200,8.575
2005-06-04,0.880,12.890
2005-06-05,0.533,13.633
2005-06-06,0.600,13.000
2005-06-11,2.067,14.867
2005-06-12,3.567,13.200
2005-06-13,0.900,12.800
2005-06-25,1.920,14.540
2005-06-27,0.800,13.150
2005-06-28,0.633,11.150
2005-06-29,1.100,10.300
2005-07-17,0.333,19.500
2005-07-19,1.300,16.117
2005-07-20,0.867,17.667
2005-07-22,0.375,17.262
2005-07-23,0.200,17.000
2005-07-24,1.300,17.983
2005-07-26,1.457,17.386
2005-07-30,0.900,16.800
2005-07-31,3.520,17.320
2005-08-01,1.000,17.600
2005-08-02,2.300,17.000
2005-08-04,0.400,18.100
2005-08-05,1.125,16.637
2005-08-06,1.600,16.414
2005-08-07,0.600,19.000
2005-08-08,1.200,15.500
2005-08-09,2.360,18.920
2005-08-10,0.360,14.500
2005-08-11,0.650,14.575
2005-08-12,0.343,16.543
2005-08-15,3.800,16.400
2005-08-16,0.200,14.700
2005-08-26,2.400,14.467
2005-08-27,0.300,15.600
2005-08-28,0.733,14.267
2005-08-29,0.200,14.350
2005-08-30,0.200,17.000
2005-09-12,0.600,14.150
2005-09-14,0.500,14.000
2005-09-15,0.629,11.157
2005-09-16,0.400,8.900
2005-09-17,1.000,7.550
2005-09-28,1.100,14.375
2005-09-29,0.360,13.220
2005-09-30,0.840,11.950
2005-10-01,0.200,11.800
