Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2010-10-11,0.200,4.350
2010-10-12,0.500,4.175
2010-10-14,0.469,3.900
2010-10-15,0.580,0.740
2010-10-18,0.500,6.450
2010-10-20,0.418,5.245
2010-10-21,0.308,4.583
2010-10-22,0.521,0.136
2010-10-23,0.838,4.263
2010-10-24,0.554,6.262
2010-10-25,0.500,6.625
2010-10-26,0.320,2.220
2010-10-28,0.350,4.683
2010-10-29,0.414,7.629
2010-11-01,0.700,5.900
2010-11-02,0.720,6.020
2010-11-03,0.800,7.385
2010-11-04,0.483,6.383
2010-11-05,0.500,5.000
2010-11-06,0.780,3.000
2010-11-07,0.567,-0.100
2010-11-09,0.977,0.708
2010-11-10,0.200,3.000
2010-11-11,0.467,5.400
2010-11-12,0.378,3.389
2010-11-13,0.486,5.943
2010-11-14,0.200,6.300
2010-11-15,0.325,6.100
2010-11-16,0.200,4.300
2010-11-17,0.700,-0.550
2010-11-18,1.092,0.085
2010-11-19,0.450,1.400
2010-11-20,0.271,1.700
2010-11-21,0.245,0.273
2010-11-22,0.288,-0.025
2010-11-23,0.482,-1.627
2010-11-24,0.480,-3.033
2010-11-25,0.329,-4.100
2010-11-27,0.200,-12.200
2010-12-01,0.367,-4.133
2010-12-03,0.150,-11.300
2010-12-04,0.267,-4.733
2010-12-05,0.350,-4.500
2010-12-06,0.233,-3.511
2010-12-07,0.350,-0.013
2010-12-09,0.567,-3.213
2010-12-10,0.255,-5.045
2010-12-11,0.546,-2.715
2010-12-12,0.594,-4.450
2010-12-13,0.600,-10.275
2010-12-14,0.100,-3.850
2010-12-18,0.433,-12.233
2010-12-19,0.175,-12.075
2010-12-21,0.200,-9.850
2010-12-24,0.433,-7.792
2010-12-25,0.382,-6.976
2010-12-26,0.594,-6.983
2010-12-28,0.240,-6.720
2010-12-30,0.350,-10.025
2010-12-31,0.186,-9.757
2011-01-01,0.278,-3.178
2011-01-03,0.200,-7.180
2011-01-04,0.350,-6.650
2011-01-05,0.350,-4.950
2011-01-06,0.343,-5.443
2011-01-07,0.517,-5.083
2011-01-09,0.373,1.736
2011-01-10,0.200,2.100
2011-01-12,0.300,0.100
2011-01-13,0.375,-0.613
2011-01-16,0.429,-5.429
2011-01-17,0.200,-0.275
2011-01-18,0.233,0.233
2011-01-19,0.267,-0.283
2011-01-20,0.188,-2.987
2011-01-21,0.167,-6.067
2011-01-22,0.386,-6.600
2011-01-23,0.200,-7.050
2011-01-24,0.220,-2.480
2011-01-25,0.356,-1.819
2011-01-29,0.400,-0.200
2011-02-01,0.320,0.460
2011-02-02,0.400,0.543
2011-02-03,0.350,0.483
2011-02-04,0.367,0.183
2011-02-05,0.200,-0.100
2011-02-08,0.450,0.131
2011-02-11,0.200,-6.200
2011-02-12,0.300,-10.800
2011-03-04,0.300,-0.400
2011-03-07,0.250,-1.650
2011-03-10,0.367,0.200
2011-03-11,0.654,0.485
2011-03-19,0.358,-1.433
2011-03-25,0.233,-1.733
2011-03-26,0.100,-1.800
2011-03-27,0.200,-1.300
2011-03-28,0.317,-1.333
2011-03-29,0.533,-0.317
2011-03-30,0.600,-1.000
2011-04-01,0.350,0.550
2011-04-04,0.450,4.100
2011-04-06,0.233,3.133
2011-04-07,0.325,2.433
2011-04-08,0.220,0.560
2011-04-11,0.200,2.700
2011-04-16,0.250,4.900
2011-04-22,0.500,11.200
2011-05-03,0.100,3.500
2011-05-04,0.310,4.040
2011-05-13,0.800,12.557
2011-05-14,0.833,8.942
2011-05-16,0.929,8.857
2011-05-17,0.450,9.700
2011-05-18,0.325,8.875
2011-05-23,1.850,13.850
2011-05-24,1.000,9.867
2011-05-27,0.700,13.900
2011-05-28,0.200,11.600
2011-05-29,0.400,10.400
2011-05-30,0.300,10.900
2011-06-14,2.450,14.550
2011-06-15,0.775,12.438
2011-06-16,1.040,13.060
2011-06-17,1.712,13.550
2011-06-18,0.100,13.600
2011-06-19,1.000,14.400
2011-06-20,1.000,12.833
2011-06-21,1.375,14.600
2011-06-23,0.525,15.225
2011-06-24,0.550,13.500
2011-06-25,0.625,14.075
2011-07-07,2.900,20.800
2011-07-08,2.133,20.833
2011-07-09,4.700,18.950
2011-07-11,1.300,18.400
2011-07-12,2.180,17.260
