Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2004-03-14,0.675,0.138
2004-03-15,0.667,1.550
2004-03-16,0.400,2.000
2004-03-17,0.200,3.100
2004-03-18,0.200,4.700
2004-03-19,0.467,2.700
2004-03-20,0.675,2.263
2004-03-21,0.560,0.980
2004-03-22,0.200,0.420
2004-03-25,0.220,0.740
2004-03-26,0.250,-0.050
2004-03-27,0.200,0.400
2004-03-28,0.400,0.300
2004-04-05,0.500,2.800
2004-04-10,0.667,2.667
2004-04-20,0.250,10.625
2004-04-21,0.467,7.967
2004-04-22,0.467,5.833
2004-05-03,0.400,12.850
2004-05-04,2.550,13.025
2004-05-09,0.200,20.700
2004-05-10,0.600,13.800
2004-05-14,1.033,5.400
2004-05-15,0.520,7.460
2004-05-18,0.875,9.600
2004-05-19,1.433,9.283
2004-05-23,0.400,5.655
2004-05-24,0.750,8.125
2004-05-25,0.500,9.900
2004-05-29,0.200,8.800
2004-05-30,0.850,6.300
2004-06-07,0.600,14.633
2004-06-08,1.413,9.367
2004-06-11,0.400,11.200
2004-06-12,0.717,11.833
2004-06-13,0.400,10.250
2004-06-14,0.733,12.733
2004-06-15,0.300,13.050
2004-06-16,0.200,9.500
2004-06-18,0.200,4.400
2004-06-20,1.533,11.867
2004-06-21,0.200,12.900
2004-06-22,1.400,11.700
2004-06-23,2.000,11.300
2004-06-24,1.725,13.387
2004-06-25,0.200,13.600
2004-06-26,0.200,13.100
2004-06-27,0.200,14.450
2004-06-29,0.800,16.250
2004-06-30,0.833,13.183
2004-07-01,0.400,13.600
2004-07-02,1.964,14.291
2004-07-03,0.733,12.700
2004-07-04,0.200,8.700
2004-07-06,1.533,12.167
2004-07-07,1.600,14.700
2004-07-10,0.400,16.267
2004-07-11,0.600,14.200
2004-07-12,0.200,15.800
2004-07-14,0.200,18.000
2004-07-19,2.500,16.800
2004-07-20,0.200,17.100
2004-07-21,0.200,8.300
2004-07-22,0.360,19.240
2004-07-23,0.740,18.480
2004-07-25,0.200,15.300
2004-07-27,6.600,16.233
2004-07-28,0.800,15.920
2004-07-29,1.150,16.425
2004-07-31,1.733,17.467
2004-08-01,0.200,19.300
2004-08-02,0.500,19.800
2004-08-05,0.600,23.600
2004-08-06,4.133,18.567
2004-08-13,0.200,14.800
2004-08-14,0.200,12.300
2004-08-17,0.523,16.654
2004-08-18,1.600,17.300
2004-08-19,0.400,19.000
2004-08-21,2.000,16.967
2004-08-22,0.500,12.750
2004-08-23,1.400,12.225
2004-08-24,0.533,10.233
2004-08-25,1.250,11.838
2004-08-26,1.100,16.300
2004-08-27,0.200,12.500
2004-08-28,0.733,15.767
2004-08-29,0.200,13.200
2004-08-30,1.760,15.960
2004-08-31,0.689,16.022
2004-09-01,0.343,14.857
2004-09-02,1.367,15.067
2004-09-03,0.320,14.880
2004-09-04,0.200,13.600
2004-09-07,0.600,10.140
2004-09-08,0.733,9.133
2004-09-11,0.200,11.600
2004-09-13,0.657,14.186
2004-09-14,0.400,15.100
2004-09-15,0.533,12.733
2004-09-16,0.800,10.386
2004-09-18,0.280,12.900
2004-09-19,0.267,13.300
2004-09-21,0.578,12.000
2004-09-22,1.250,10.525
2004-09-23,1.489,10.078
2004-09-24,1.057,10.114
2004-09-25,0.720,11.160
2004-09-26,0.333,12.267
2004-09-27,0.467,12.150
2004-09-28,0.560,10.360
2004-09-29,0.400,12.100
2004-09-30,0.200,4.800
2004-10-05,0.300,12.350
2004-10-06,0.200,14.400
2004-10-07,0.200,9.400
2004-10-08,0.833,9.083
2004-10-09,0.333,3.000
2004-10-10,0.911,3.011
2004-10-17,0.600,7.233
2004-10-18,0.900,7.025
2004-10-19,0.200,6.250
2004-10-21,0.300,4.850
2004-10-22,0.533,7.833
2004-10-23,1.000,9.567
2004-10-24,0.200,8.000
2004-10-25,1.343,7.143
2004-10-27,0.200,9.500
2004-10-30,0.800,2.700
2004-10-31,0.467,2.767
2004-11-01,0.200,4.800
2004-11-03,0.200,4.300
2004-11-04,0.200,7.000
2004-11-05,1.000,7.400
2004-11-06,0.280,5.420
2004-11-07,0.200,5.900
2004-11-11,0.229,5.914
2004-11-12,0.867,7.611
2004-11-13,0.775,5.787
2004-11-14,0.267,3.000
2004-11-15,1.400,7.800
2004-11-16,0.378,2.011
2004-11-17,0.483,-1.817
2004-11-19,0.200,-2.867
2004-11-22,0.200,-3.300
2004-11-24,0.200,-1.800
2004-11-25,0.320,1.640
2004-11-29,0.257,-0.529
2004-11-30,0.200,0.967
2004-12-02,0.400,0.300
2004-12-04,0.200,2.833
2004-12-05,0.467,5.133
2004-12-06,0.360,3.440
2004-12-07,0.400,5.750
2004-12-08,0.560,4.520
2004-12-15,0.450,3.908
