Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2004-03-20,0.511,2.000
2004-03-21,0.425,1.637
2004-03-22,0.257,0.514
2004-03-24,0.200,0.700
2004-03-25,0.431,0.715
2004-03-26,0.200,0.750
2004-03-28,0.233,0.867
2004-04-01,2.500,-2.250
2004-04-10,1.000,1.825
2004-04-11,0.200,3.850
2004-04-12,0.333,1.200
2004-04-21,0.200,11.200
2004-04-28,0.300,4.150
2004-04-29,0.200,3.950
2004-05-04,0.600,16.100
2004-05-14,0.400,5.400
2004-05-15,1.880,7.060
2004-05-16,0.200,6.350
2004-05-18,0.200,9.600
2004-05-19,0.300,10.500
2004-05-20,0.300,7.875
2004-05-23,0.400,8.300
2004-05-24,0.267,7.833
2004-05-25,2.133,7.333
2004-05-27,0.600,10.267
2004-05-29,0.880,11.000
2004-05-30,0.450,6.875
2004-05-31,0.280,7.540
2004-06-06,0.800,13.650
2004-06-07,3.567,13.133
2004-06-08,1.350,9.913
2004-06-12,1.369,13.208
2004-06-13,2.400,11.675
2004-06-14,0.700,12.450
2004-06-20,0.200,16.250
2004-06-21,1.369,12.815
2004-06-22,1.857,12.171
2004-06-23,1.267,13.150
2004-06-24,0.600,16.300
2004-06-25,3.400,15.100
2004-06-26,0.400,15.100
2004-06-27,2.545,14.918
2004-06-28,2.000,14.750
2004-06-29,0.250,14.475
2004-06-30,2.657,14.250
2004-07-03,0.200,14.950
2004-07-04,0.400,16.700
2004-07-05,1.880,14.260
2004-07-06,0.720,15.980
2004-07-07,0.600,15.600
2004-07-10,1.000,16.950
2004-07-12,0.600,15.900
2004-07-13,1.333,15.600
2004-07-14,0.400,18.600
2004-07-20,0.400,16.900
2004-07-25,3.533,18.467
2004-07-28,0.200,18.800
2004-07-29,0.820,16.680
2004-07-30,1.044,17.789
2004-07-31,0.633,18.225
2004-08-01,0.500,21.650
2004-08-02,0.200,20.875
2004-08-09,2.900,21.450
2004-08-11,0.300,20.300
2004-08-12,1.000,14.700
2004-08-13,0.900,10.850
2004-08-14,0.600,12.589
2004-08-15,1.250,12.950
2004-08-17,1.556,17.244
2004-08-18,0.629,18.443
2004-08-20,0.367,18.667
2004-08-21,2.000,15.475
2004-08-22,2.600,16.200
2004-08-23,0.300,15.350
2004-08-24,1.550,12.075
2004-08-26,0.320,11.560
2004-08-27,0.820,15.220
2004-08-30,2.800,13.300
2004-09-01,0.733,17.233
2004-09-02,3.317,15.367
2004-09-03,0.200,13.300
2004-09-06,1.600,15.433
2004-09-08,1.564,9.327
2004-09-10,0.600,13.600
2004-09-12,0.550,15.575
2004-09-13,0.200,14.900
2004-09-14,0.400,15.400
2004-09-15,0.900,14.050
2004-09-16,0.967,10.583
2004-09-18,0.800,12.400
2004-09-21,0.850,12.662
2004-09-22,1.046,10.615
2004-09-23,0.764,10.118
2004-09-24,0.200,11.700
2004-09-25,0.980,10.340
2004-09-27,0.400,11.120
2004-09-28,1.080,11.160
2004-09-29,0.440,11.380
2004-09-30,0.600,9.800
2004-10-06,0.800,12.617
2004-10-08,0.500,10.375
2004-10-09,0.433,7.633
2004-10-10,0.400,2.750
2004-10-17,0.200,8.300
2004-10-18,0.750,6.525
2004-10-19,0.520,5.047
2004-10-20,0.200,4.600
2004-10-22,0.300,4.900
2004-10-23,1.400,8.729
2004-10-25,2.200,5.450
2004-10-26,0.680,7.680
2004-10-27,0.514,7.671
2004-10-29,0.200,1.500
2004-10-31,0.200,1.880
2004-11-05,0.720,6.120
2004-11-06,0.450,5.787
2004-11-07,0.431,5.100
2004-11-11,0.200,4.750
2004-11-12,0.300,7.500
2004-11-13,0.686,5.457
2004-11-14,0.300,3.117
2004-11-15,0.964,5.536
2004-11-16,0.429,4.000
2004-11-30,0.500,-1.225
2004-12-01,1.633,2.333
2004-12-02,0.255,0.355
2004-12-03,0.533,0.000
2004-12-04,0.720,1.120
2004-12-05,0.350,3.142
2004-12-06,0.200,1.300
2004-12-07,0.367,1.517
2004-12-08,0.200,1.900
2004-12-09,0.200,0.950
2004-12-12,0.400,3.400
2004-12-15,0.620,0.750
2004-12-16,0.200,3.000
2004-12-17,0.200,-0.100
2004-12-18,0.200,-0.400
2004-12-19,0.562,-0.081
2004-12-20,0.291,-0.673
2004-12-21,0.250,-1.650
2004-12-23,0.300,-0.633
2004-12-24,0.400,0.700
2004-12-26,0.200,0.750
2004-12-29,0.467,0.300
2004-12-30,0.543,0.557
2004-12-31,0.500,1.050
2005-01-02,0.360,0.100
2005-01-03,0.267,0.400
2005-01-04,0.250,0.700
2005-01-05,0.471,0.093
2005-01-06,0.467,1.017
2005-01-07,0.667,2.792
2005-01-08,0.600,4.975
2005-01-09,0.320,2.190
2005-01-10,0.686,1.229
2005-01-11,0.200,6.500
2005-01-12,1.733,4.267
2005-01-13,0.200,3.400
2005-01-14,0.350,1.488
2005-01-16,0.600,0.429
2005-01-17,0.200,1.600
2005-03-25,0.300,1.450
2005-03-29,0.200,-1.900
2005-04-07,0.200,5.650
2005-04-08,0.343,5.057
2005-04-09,0.836,3.336
2005-04-10,0.200,1.100
2005-04-11,0.350,3.750
2005-04-21,0.360,-0.860
2005-04-30,0.400,2.233
2005-05-01,0.200,1.900
2005-05-03,0.600,7.778
2005-05-04,0.200,6.600
2005-05-07,0.667,8.633
2005-05-08,1.433,7.950
2005-05-09,0.600,7.150
2005-05-10,0.911,5.711
2005-05-11,0.982,5.418
2005-05-13,1.044,8.133
2005-05-14,0.867,6.450
2005-05-16,0.800,12.100
2005-05-17,2.267,9.967
2005-05-18,0.567,11.600
2005-05-19,0.267,8.267
2005-05-24,3.100,16.100
2005-05-31,1.950,8.225
2005-06-01,0.520,9.800
2005-06-04,1.000,13.567
2005-06-05,1.200,14.420
2005-06-06,1.200,12.400
2005-06-07,0.600,11.800
2005-06-12,4.143,16.329
2005-06-13,0.700,13.350
2005-06-18,0.200,14.400
2005-06-25,2.200,15.375
2005-06-27,0.267,13.733
2005-06-28,1.440,14.560
2005-06-30,0.200,15.667
2005-07-17,0.267,21.133
2005-07-19,2.133,17.767
2005-07-20,1.200,20.000
2005-07-22,0.750,17.788
2005-07-23,0.900,16.625
2005-07-24,0.200,15.200
2005-07-26,1.150,17.400
2005-07-27,1.467,16.967
2005-07-28,0.700,18.000
2005-07-29,0.200,17.200
2005-07-30,2.000,16.580
2005-07-31,0.500,17.650
2005-08-01,0.500,17.775
2005-08-02,0.800,17.500
2005-08-03,0.300,16.100
2005-08-05,2.475,16.575
2005-08-06,1.567,17.333
2005-08-09,3.720,19.860
2005-08-10,0.440,13.760
2005-08-11,0.400,15.200
2005-08-12,0.956,16.211
2005-08-13,0.433,15.500
2005-08-14,0.600,14.800
2005-08-16,0.200,18.100
2005-08-17,1.100,15.050
2005-08-21,1.100,16.800
2005-08-22,0.400,16.000
2005-08-23,0.200,13.100
2005-08-26,1.600,15.780
2005-08-27,0.200,12.800
2005-08-28,1.867,13.133
2005-08-29,0.400,16.600
2005-08-30,0.600,16.700
2005-09-12,1.300,13.812
2005-09-14,0.200,13.933
2005-09-15,0.800,12.167
2005-09-16,0.300,9.450
2005-09-17,1.933,7.683
2005-09-20,0.200,12.350
2005-09-29,0.240,12.880
2005-09-30,0.800,12.678
2005-10-02,0.200,14.800
2005-10-13,0.200,4.900
2005-10-14,0.867,8.100
2005-10-15,0.680,7.920
2005-10-16,0.450,6.900
2005-10-21,0.200,7.500
2005-10-22,1.086,9.743
2005-10-23,0.750,8.475
2005-10-24,0.500,3.633
2005-10-26,0.200,-0.250
2005-11-04,1.400,6.300
2005-11-05,0.475,6.550
2005-11-06,0.578,6.544
2005-11-07,1.067,8.533
2005-11-08,0.200,5.300
2005-11-11,0.500,5.450
2005-11-13,0.300,7.650
2005-11-14,0.356,6.611
2005-11-15,0.783,6.842
2005-11-16,0.320,0.900
2005-11-17,0.320,1.060
2005-11-19,0.400,1.750
2005-11-20,0.300,2.550
2005-11-24,0.200,1.000
2005-11-25,0.200,-0.600
2005-11-26,0.354,-0.492
2005-11-27,0.200,-0.800
2005-11-28,0.300,1.875
2005-12-01,0.543,0.171
2005-12-02,0.425,1.788
2006-04-01,0.200,4.600
2006-04-03,0.533,1.633
2006-04-05,0.667,2.550
2006-04-10,0.711,2.378
2006-04-11,0.200,0.900
2006-04-16,0.400,1.600
2006-04-17,0.200,6.300
2006-04-19,0.520,4.520
2006-04-20,0.533,4.367
2006-04-21,0.286,3.129
2006-04-23,0.200,3.100
2006-05-14,0.300,9.100
2006-05-19,0.667,8.078
2006-05-20,0.400,12.400
2006-05-21,0.700,13.333
2006-05-22,0.200,11.600
2006-05-23,4.133,14.067
2006-05-24,0.200,10.400
2006-05-25,0.200,11.000
2006-05-31,0.700,12.025
2006-06-01,1.091,10.014
2006-06-04,0.400,11.575
2006-06-14,0.600,20.500
2006-06-15,0.200,13.850
2006-06-22,0.200,24.200
2006-06-23,1.133,16.567
2006-06-24,0.200,14.700
2006-06-27,0.400,25.200
2006-07-10,0.800,23.600
2006-07-18,0.867,13.033
2006-07-22,2.200,15.633
2006-07-27,1.600,13.700
2006-08-03,0.200,15.900
2006-08-04,0.200,15.850
2006-08-18,0.333,16.233
2006-08-21,3.400,17.233
2006-08-25,0.760,16.840
2006-08-28,1.629,15.757
2006-08-30,0.350,16.500
2006-08-31,0.600,16.433
2006-09-01,0.267,12.933
2006-09-04,2.067,14.656
2006-09-05,0.467,13.583
2006-09-06,0.400,14.200
2006-09-08,0.680,14.280
2006-09-09,0.600,12.463
2006-09-20,0.200,16.500
2006-09-29,0.400,12.700
2006-09-30,0.500,13.575
2006-10-01,1.250,11.925
2006-10-04,0.300,12.275
2006-10-05,0.200,11.000
2006-10-06,1.600,11.475
2006-10-07,0.333,11.233
2006-10-08,0.711,12.133
2006-10-09,0.867,12.300
2006-10-11,0.200,8.700
2006-10-14,1.550,10.625
2006-10-15,0.343,9.100
2006-10-16,0.333,7.133
2006-10-17,0.286,8.157
2006-10-18,1.371,7.057
2006-10-21,0.473,2.827
2006-10-22,0.629,8.200
2006-10-23,0.486,11.886
2006-10-24,0.629,13.600
2006-10-25,0.200,10.000
2006-10-26,0.200,5.875
2006-10-27,0.613,8.613
2006-10-28,0.300,3.725
2006-10-29,0.400,-0.033
2006-10-30,0.914,0.614
2006-10-31,1.473,1.309
2007-04-04,0.200,-0.600
2007-04-05,1.800,2.500
2007-04-07,0.200,1.400
2007-04-17,0.200,8.400
2007-04-18,0.350,5.425
2007-04-19,0.640,4.680
2007-04-20,0.733,4.667
2007-04-21,0.600,5.200
2007-04-23,0.400,3.163
2007-04-24,0.600,3.780
2007-04-25,1.400,8.300
2007-04-27,0.800,8.900
2007-04-29,0.800,0.300
2007-04-30,0.400,0.380
