Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2004-02-01,0.571,0.243
2004-02-04,1.280,1.860
2004-02-07,0.200,-0.600
2004-02-09,0.200,-3.500
2004-02-13,0.233,-0.817
2004-02-14,0.200,0.500
2004-02-15,0.200,-0.400
2004-02-16,1.000,-0.100
2004-02-17,0.369,-0.200
2004-02-20,0.200,0.600
2004-02-23,0.200,-3.900
2004-02-25,0.200,-1.100
2004-02-26,0.200,0.150
2004-02-27,0.200,-0.800
2004-03-02,0.200,0.100
2004-03-07,0.200,-0.250
2004-03-14,0.575,0.138
2004-03-15,0.467,1.850
2004-03-16,0.250,2.275
2004-03-17,0.200,3.700
2004-03-19,0.333,3.167
2004-03-20,0.486,2.714
2004-03-21,0.400,0.550
2004-03-22,0.240,0.160
2004-03-25,0.440,0.045
2004-03-26,0.333,-0.333
2004-03-28,0.200,0.400
2004-04-10,0.633,1.467
2004-04-11,0.200,2.700
2004-04-20,1.120,8.380
2004-04-21,0.725,4.612
2004-04-22,0.429,3.057
2004-05-03,0.267,12.267
2004-05-04,1.467,12.833
2004-05-13,0.200,2.800
2004-05-14,0.400,5.133
2004-05-18,1.600,8.700
2004-05-19,0.760,8.660
2004-05-23,0.500,6.350
2004-05-29,0.800,9.771
2004-05-30,0.760,7.240
2004-06-07,1.520,11.460
2004-06-08,1.215,9.208
2004-06-11,0.720,10.520
2004-06-12,2.067,11.333
2004-06-14,0.600,11.100
2004-06-16,0.200,10.500
2004-06-20,1.500,11.350
2004-06-22,0.300,12.350
2004-06-23,0.400,11.600
2004-06-24,1.200,13.671
2004-06-26,1.800,13.433
2004-06-27,0.350,13.725
2004-06-29,0.400,11.700
2004-06-30,1.057,12.893
2004-07-01,0.480,15.500
2004-07-02,0.909,14.527
2004-07-03,2.354,13.085
2004-07-04,1.960,15.820
2004-07-05,0.200,15.700
2004-07-06,4.933,12.833
2004-07-07,0.200,14.600
2004-07-10,0.600,15.720
2004-07-11,1.267,15.367
2004-07-13,1.400,16.300
2004-07-14,1.350,16.175
2004-07-15,0.200,16.300
2004-07-18,0.200,17.000
2004-07-19,1.700,17.300
2004-07-20,0.700,16.900
2004-07-23,0.711,17.578
2004-07-24,0.400,18.300
2004-07-27,5.480,16.820
2004-07-28,1.138,16.646
2004-07-29,1.344,16.511
2004-07-30,0.300,16.500
2004-07-31,0.800,16.800
2004-08-01,0.933,17.517
2004-08-02,0.200,16.850
2004-08-13,0.200,15.500
2004-08-17,2.080,16.120
2004-08-18,0.200,16.650
2004-08-19,0.200,19.600
2004-08-21,0.400,16.550
2004-08-22,1.700,16.000
2004-08-23,0.400,13.700
2004-08-25,0.600,11.767
2004-08-26,0.825,15.225
2004-08-27,0.200,16.700
2004-08-28,0.900,15.900
2004-08-29,0.200,13.700
2004-08-30,0.300,15.050
2004-08-31,1.433,17.083
2004-09-01,0.556,14.678
2004-09-02,1.067,14.367
2004-09-03,0.680,15.800
2004-09-06,0.400,16.400
2004-09-07,0.300,14.250
2004-09-12,3.400,16.000
2004-09-13,0.840,14.440
2004-09-14,2.700,15.800
2004-09-15,0.400,13.650
2004-09-16,1.560,11.960
2004-09-19,0.467,13.133
2004-09-21,0.500,11.917
2004-09-22,0.360,12.200
2004-09-23,1.800,10.350
2004-09-24,1.033,10.767
2004-09-25,2.171,11.286
2004-09-26,0.733,11.967
2004-09-27,0.486,12.129
2004-09-28,0.200,11.720
2004-09-29,0.300,11.900
2004-10-05,0.200,13.450
2004-10-06,0.700,13.800
2004-10-07,0.300,9.050
2004-10-08,1.558,9.542
2004-10-09,0.400,4.550
2004-10-10,0.750,4.388
2004-10-17,0.733,7.167
2004-10-18,0.440,7.660
2004-10-19,0.371,7.543
2004-10-21,0.800,4.300
2004-10-22,1.400,6.750
2004-10-23,1.164,9.564
2004-10-24,1.400,6.700
2004-10-25,1.200,6.929
2004-10-26,0.300,10.500
2004-10-27,0.700,9.325
2004-11-05,0.800,8.375
2004-11-06,0.600,5.786
2004-11-11,0.200,6.200
2004-11-12,1.123,7.677
2004-11-13,0.673,5.473
2004-11-14,0.200,4.350
2004-11-15,0.833,7.617
2004-11-16,0.314,4.757
2004-11-17,0.486,0.271
2004-11-18,0.200,0.500
2004-11-21,0.200,-1.100
2004-11-25,0.400,1.475
2004-11-29,0.491,0.009
2004-11-30,0.200,1.025
