Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2010-09-15,1.400,12.817
2010-09-16,0.700,11.600
2010-09-17,0.967,12.100
2010-09-18,1.808,11.200
2010-09-19,2.717,10.050
2010-09-20,0.150,12.300
2010-09-21,0.593,11.850
2010-09-22,0.600,11.812
2010-09-27,0.575,8.175
2010-09-28,0.489,6.978
2010-10-12,1.033,5.133
2010-10-13,0.450,3.700
2010-10-14,0.620,5.190
2010-10-17,0.800,5.300
2010-10-18,0.850,5.150
2010-10-19,0.200,4.000
2010-10-20,0.350,5.770
2010-10-21,0.850,5.950
2010-10-22,0.713,1.875
2010-10-23,0.800,5.914
2010-10-24,0.757,5.800
2010-10-25,0.287,6.725
2010-10-26,0.200,3.850
2010-10-28,0.350,6.175
2010-10-29,0.300,7.800
2010-10-30,0.200,7.000
2010-11-02,0.325,5.375
2010-11-03,0.717,7.278
2010-11-04,0.360,7.060
2010-11-06,0.675,4.850
2010-11-07,0.350,1.300
2010-11-08,0.100,1.100
2010-11-09,1.338,1.446
2010-11-10,0.233,3.833
2010-11-11,0.375,5.350
2010-11-12,0.689,4.400
2010-11-13,1.023,6.323
2010-11-14,1.200,5.200
2010-11-15,0.378,7.222
2010-11-17,0.300,0.200
2010-11-18,0.562,0.737
2010-11-19,0.588,2.575
2010-11-20,0.200,3.200
2010-11-21,0.250,1.620
2010-11-22,0.400,1.043
2010-11-23,0.300,-0.267
2010-11-24,0.269,-1.131
2010-11-25,0.200,-4.925
2010-12-02,0.100,-10.800
2010-12-03,0.150,-9.800
2010-12-04,0.633,-5.133
2010-12-05,0.500,-2.120
2010-12-06,0.244,-3.189
2010-12-07,0.486,0.329
2010-12-08,0.200,0.200
2010-12-09,0.425,-3.081
2010-12-10,0.150,-4.025
2010-12-11,0.314,-2.171
2010-12-12,0.750,-5.294
2010-12-14,0.200,-3.700
2010-12-18,0.200,-13.000
2010-12-19,0.200,-10.850
2010-12-21,0.325,-4.713
2010-12-22,0.520,-5.880
2010-12-24,0.293,-8.821
2010-12-25,0.287,-7.925
2010-12-26,0.644,-6.919
2010-12-28,0.200,-5.714
2010-12-29,0.200,-12.500
2010-12-30,0.383,-8.625
2010-12-31,0.200,-8.000
2011-01-01,0.320,-2.250
2011-01-02,0.200,-4.900
2011-01-03,0.175,-6.400
2011-01-04,0.367,-4.100
2011-01-05,0.310,-3.600
2011-01-06,0.460,-5.300
2011-01-07,0.529,-4.086
2011-01-08,0.500,0.500
2011-01-09,0.750,1.742
2011-01-12,0.285,-0.423
2011-01-13,0.200,0.150
2011-01-16,0.787,-3.800
2011-01-17,0.383,0.917
2011-01-18,0.225,0.150
2011-01-19,0.227,0.318
2011-01-20,0.433,-0.683
2011-01-22,0.544,-5.333
2011-01-23,0.200,-6.800
2011-01-24,0.300,-2.413
2011-01-25,0.311,-3.144
2011-01-26,0.200,-4.500
2011-01-29,0.150,0.900
2011-02-01,0.217,0.350
2011-02-02,0.200,0.700
2011-02-03,0.267,0.417
2011-02-04,0.325,0.250
2011-02-05,0.283,0.033
2011-02-06,0.300,-1.000
2011-02-08,0.760,0.613
2011-02-11,0.233,-5.556
2011-02-12,0.250,-10.700
2011-03-04,0.300,-0.725
2011-03-10,0.200,1.100
2011-03-11,0.400,1.030
2011-03-12,0.200,0.200
2011-03-19,0.600,-0.520
2011-03-21,0.167,0.567
2011-03-25,0.200,-1.000
2011-03-28,0.280,-0.600
2011-03-29,0.267,0.267
2011-03-30,0.200,0.000
2011-04-01,0.400,1.833
2011-04-02,0.300,1.950
2011-04-04,0.300,2.550
2011-04-06,0.336,1.445
2011-04-07,0.600,3.300
2011-04-08,0.400,0.850
2011-04-11,0.233,2.367
2011-04-16,0.300,4.040
2011-04-22,0.100,9.800
2011-04-30,1.800,6.783
2011-05-03,0.875,5.300
2011-05-04,0.150,4.450
2011-05-13,1.100,12.780
2011-05-14,0.436,10.291
2011-05-16,0.650,8.867
2011-05-17,0.233,9.533
2011-05-18,0.433,8.767
2011-05-19,0.300,14.700
2011-05-23,1.086,13.271
2011-05-24,1.200,10.150
2011-05-27,0.500,12.900
2011-05-29,0.367,11.617
2011-05-30,0.500,10.950
2011-06-15,0.200,12.100
2011-06-16,1.833,14.600
2011-06-17,2.557,14.043
2011-06-19,0.800,15.000
2011-06-20,0.500,15.400
2011-06-23,0.425,15.025
2011-06-24,0.450,13.750
2011-06-25,0.200,12.750
2011-06-30,0.333,21.433
2011-07-07,0.700,21.550
2011-07-08,0.733,20.700
2011-07-09,0.300,22.600
2011-07-11,2.000,18.800
2011-07-12,0.680,17.780
2011-07-14,0.425,17.525
2011-07-15,0.578,16.844
2011-07-16,0.740,15.920
2011-07-17,0.700,15.100
2011-07-19,0.800,17.825
2011-07-21,0.233,26.400
2011-07-23,0.800,20.000
2011-07-24,0.100,15.700
2011-07-26,5.000,20.433
2011-07-27,7.250,20.775
2011-07-28,9.775,19.900
2011-07-29,2.100,18.667
2011-07-30,0.600,17.050
2011-07-31,0.133,18.200
2011-08-06,0.880,17.800
2011-08-07,1.920,20.500
2011-08-08,3.100,16.700
2011-08-09,1.925,16.217
2011-08-10,1.069,14.862
2011-08-11,0.467,12.933
2011-08-18,0.250,16.900
2011-08-19,0.167,15.500
2011-08-20,0.914,15.529
2011-08-22,0.450,13.650
2011-08-23,0.300,20.600
2011-08-28,0.850,18.100
2011-08-29,4.900,14.680
2011-08-30,4.040,14.000
2011-08-31,1.067,14.300
2011-09-01,2.325,13.600
2011-09-02,0.300,15.400
2011-09-06,0.580,14.780
2011-09-07,0.975,14.800
2011-09-08,1.100,14.450
2011-09-09,0.200,16.700
2011-09-10,0.450,15.950
2011-09-12,1.067,17.067
2011-09-13,1.280,15.280
2011-09-14,0.400,14.100
2011-09-16,0.600,11.467
2011-09-17,0.700,13.150
2011-09-18,0.200,11.100
2011-09-19,1.100,14.050
2011-09-20,0.100,12.800
2011-09-21,0.400,14.350
2011-09-22,0.850,13.875
2011-09-23,0.350,11.500
2011-09-24,0.500,11.000
2011-09-27,0.400,14.200
2011-09-28,1.000,11.950
2011-09-29,0.300,13.100
2011-10-03,0.443,13.157
2011-10-04,0.200,12.300
2011-10-06,0.400,13.467
2011-10-07,0.433,12.033
2011-10-08,1.150,9.300
2011-10-10,1.006,8.824
2011-10-11,1.214,8.057
2011-10-12,0.812,5.025
2011-10-13,0.267,5.700
2011-10-19,1.286,7.186
2011-10-20,0.900,7.000
2011-10-21,0.100,5.200
2011-10-22,0.300,8.900
2011-10-30,0.200,9.500
2011-10-31,0.150,10.450
2011-11-11,0.200,5.350
2011-11-12,0.300,3.700
2011-11-18,0.333,6.767
2011-11-19,0.767,7.700
2011-11-23,0.200,4.000
2011-11-24,0.683,6.283
2011-11-25,0.691,7.255
2011-11-26,1.800,3.300
2011-11-27,0.843,8.279
2011-11-28,0.250,4.225
2011-12-02,0.953,4.676
2011-12-03,0.200,4.100
2011-12-04,0.968,3.705
2011-12-05,0.556,3.367
2011-12-06,0.720,1.460
2011-12-07,0.433,1.783
2011-12-09,0.486,0.729
2011-12-10,0.762,3.408
2011-12-11,0.817,3.683
2011-12-13,0.862,1.887
2011-12-14,0.750,2.837
2011-12-15,1.607,4.314
2011-12-17,0.686,1.157
2011-12-18,0.648,2.943
2011-12-19,0.575,2.638
2011-12-20,0.920,3.020
2011-12-23,0.283,-0.417
2011-12-24,0.418,1.977
2011-12-25,0.360,3.960
2011-12-26,1.075,6.175
2011-12-27,1.400,5.167
2011-12-28,0.400,2.700
2011-12-29,0.456,4.094
2011-12-30,0.738,2.913
2012-01-02,0.608,0.754
2012-01-03,0.700,2.850
2012-01-04,1.218,2.409
2012-01-05,0.600,1.860
2012-01-06,0.386,0.257
2012-01-07,0.567,0.000
2012-01-08,0.221,-0.579
2012-01-09,0.283,-0.633
2012-01-11,0.950,2.230
2012-01-12,1.269,3.546
2012-01-13,0.275,-0.638
2012-01-14,0.175,-2.950
2012-01-17,0.683,-1.967
2012-01-18,0.133,-0.633
2012-01-19,0.479,-0.793
2012-01-20,0.317,-1.583
2012-01-21,0.562,-1.038
2012-01-22,0.133,-4.133
2012-01-23,0.200,-3.133
2012-01-24,0.300,-7.450
2012-02-02,0.150,-19.900
2012-02-07,0.300,-7.567
2012-02-08,0.360,-9.520
2012-02-12,0.250,-5.917
2012-02-13,0.314,-7.371
2012-02-14,0.400,-2.550
2012-02-15,0.267,-3.567
2012-02-17,0.200,-5.500
2012-02-19,0.600,-2.065
2012-02-20,0.214,0.300
2012-02-21,0.500,-0.130
2012-02-22,0.970,1.190
2012-02-23,0.780,0.540
2012-02-24,0.260,0.080
2012-02-25,0.150,0.150
2012-02-26,0.400,-2.450
2012-02-28,0.738,-2.413
2012-02-29,0.300,-0.400
2012-03-02,0.567,0.933
2012-03-10,0.559,0.818
2012-03-11,0.700,0.400
2012-03-16,0.133,0.400
2012-03-17,0.200,1.650
2012-03-18,0.491,1.282
2012-03-19,0.754,0.731
2012-03-20,0.100,1.200
2012-03-21,0.350,3.100
2012-03-24,0.517,2.833
2012-03-25,0.980,2.180
2012-03-26,0.500,0.800
2012-03-27,0.200,4.000
2012-03-28,0.925,2.475
2012-03-29,0.440,0.620
2012-03-30,1.350,1.533
2012-03-31,0.471,0.129
2012-04-02,0.789,-0.822
2012-04-03,0.367,-1.278
2012-04-06,0.383,2.583
2012-04-07,0.529,-0.353
2012-04-08,0.260,-1.550
2012-04-13,1.217,8.050
2012-04-16,0.858,2.025
2012-04-17,0.400,0.817
2012-04-20,1.231,6.054
2012-04-23,0.738,8.887
2012-04-24,0.820,4.220
2012-04-25,0.300,9.400
2012-04-27,0.333,8.433
2012-04-28,0.333,9.833
2012-04-29,0.733,7.967
2012-05-04,1.000,10.200
2012-05-06,2.320,5.400
2012-05-10,1.800,13.100
2012-05-11,2.000,12.857
2012-05-16,2.388,13.787
2012-05-17,0.971,9.386
2012-05-18,0.250,7.300
2012-05-26,0.200,14.850
2012-05-29,0.700,7.200
2012-05-30,1.392,7.146
2012-05-31,0.700,9.700
2012-06-01,1.030,10.690
2012-06-02,0.875,9.287
2012-06-09,0.400,10.050
2012-06-11,1.883,12.583
2012-06-17,0.820,14.760
2012-06-19,0.500,11.400
2012-06-23,2.131,12.862
2012-06-24,0.425,12.075
2012-06-25,0.914,14.329
2012-06-26,0.650,13.917
2012-06-27,0.300,14.300
2012-06-28,1.000,14.400
2012-06-30,0.500,18.000
2012-07-02,1.200,15.967
2012-07-03,0.150,15.150
2012-07-05,2.025,16.562
2012-07-07,3.860,19.980
2012-07-09,0.150,18.000
2012-07-12,0.867,15.467
2012-07-13,0.975,15.200
2012-07-14,2.350,14.750
2012-07-15,2.163,15.012
2012-07-18,2.275,15.525
2012-07-19,1.900,16.100
2012-07-21,1.300,15.667
2012-07-30,1.100,17.183
2012-08-03,2.200,19.000
2012-08-04,0.400,18.400
2012-08-06,1.082,17.991
2012-08-07,3.050,15.750
2012-08-08,1.940,16.000
2012-08-09,0.780,15.940
2012-08-18,0.600,21.350
