Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2009-09-24,1.450,10.725
2009-09-28,0.483,14.200
2009-09-29,0.629,7.586
2009-09-30,0.150,9.200
2009-10-01,1.286,5.800
2009-10-02,0.875,5.475
2009-10-03,1.822,9.978
2009-10-04,0.344,11.278
2009-10-05,0.767,8.267
2009-10-07,0.667,12.000
2009-10-09,1.183,6.433
2009-10-12,0.579,3.893
2009-10-15,0.420,4.520
2009-10-17,1.950,5.100
2009-10-18,0.467,3.883
2009-10-19,0.708,6.208
2009-10-20,1.000,6.800
2009-10-22,0.214,5.829
2009-10-24,0.200,5.600
2009-10-25,0.336,6.736
2009-10-26,0.300,9.433
2009-10-27,0.356,9.144
2009-10-28,0.500,6.200
2009-10-30,0.200,4.300
2009-11-05,0.233,2.367
2009-11-06,0.267,2.167
2009-11-10,0.742,1.150
2009-11-12,0.433,1.444
2009-11-13,0.200,0.400
2009-11-16,0.175,4.425
2009-11-17,0.344,4.911
2009-11-18,0.433,6.800
2009-11-19,0.550,5.950
2009-11-20,0.590,6.770
2009-11-21,0.200,7.300
2009-11-22,0.586,7.014
2009-11-23,0.800,6.600
2009-11-24,0.560,6.770
2009-11-25,0.633,7.067
2009-11-26,0.450,7.500
2009-11-28,0.680,5.280
2009-12-01,0.133,5.133
2009-12-03,0.200,4.400
2009-12-06,0.357,1.743
2009-12-07,0.180,2.720
2009-12-10,0.200,1.000
2009-12-11,0.312,1.137
2009-12-12,0.267,0.067
2009-12-13,0.300,0.500
2009-12-14,0.200,-1.900
2009-12-16,0.200,-10.250
2009-12-17,0.183,-11.783
2009-12-20,0.210,-9.370
2009-12-21,1.700,-2.400
2009-12-22,0.250,-1.750
2009-12-23,0.700,-1.580
2009-12-25,0.600,-1.600
2009-12-26,0.209,-1.155
2009-12-27,0.340,-0.040
2009-12-28,0.250,2.100
2009-12-29,0.679,0.129
2009-12-30,0.269,-1.038
2009-12-31,0.533,-4.700
2010-01-01,0.250,-7.500
2010-01-02,0.300,-8.617
2010-01-03,0.325,-1.925
2010-01-04,0.850,-0.450
2010-01-05,0.260,-4.820
2010-01-06,0.350,-4.775
2010-01-07,0.260,-5.720
2010-01-08,1.550,-5.950
2010-01-12,0.800,-5.600
2010-01-13,0.200,-3.350
2010-01-14,2.250,-4.350
2010-01-15,1.933,-1.233
2010-01-26,0.450,-7.450
2010-01-27,0.400,-14.000
2010-01-28,0.200,-13.550
2010-01-29,0.243,-11.200
2010-01-30,0.425,-5.713
2010-01-31,0.500,-2.567
2010-02-01,0.500,-4.240
2010-02-02,0.830,-4.260
2010-02-03,0.300,-2.400
2010-02-04,0.200,-2.900
2010-02-07,0.200,-2.250
2010-02-08,0.333,-1.967
2010-02-09,0.350,-5.579
2010-02-12,0.329,-5.229
2010-02-13,0.386,-5.600
2010-02-19,0.778,-7.833
2010-02-20,0.473,-12.455
2010-02-21,0.480,-10.080
2010-02-22,0.200,-7.300
2010-02-23,0.428,-6.017
2010-02-24,0.320,-4.220
2010-02-26,0.800,0.333
2010-02-27,0.400,0.500
2010-02-28,0.250,0.950
2010-03-01,0.600,0.450
2010-03-02,0.317,-2.222
2010-03-03,0.213,-3.347
2010-03-04,0.190,-3.150
2010-03-05,0.300,-4.300
2010-03-12,0.500,-0.300
2010-03-15,0.733,-4.633
2010-03-16,0.250,-2.550
2010-03-17,0.367,-1.267
2010-03-19,0.250,0.950
2010-03-21,0.250,0.433
2010-03-23,0.700,0.554
2010-03-27,0.700,3.617
2010-03-28,0.300,1.167
2010-03-29,0.417,0.950
2010-04-03,0.383,2.400
2010-04-04,0.400,1.627
2010-04-09,0.517,2.833
2010-04-10,0.233,3.133
2010-04-16,0.233,2.733
2010-04-18,0.200,3.500
2010-04-21,0.200,5.250
2010-04-28,0.400,2.900
2010-04-29,0.591,4.127
2010-04-30,0.200,7.200
2010-05-01,0.500,5.200
2010-05-03,0.200,4.400
2010-05-04,0.642,3.292
2010-05-07,1.663,4.062
2010-05-08,0.500,4.000
2010-05-09,0.300,4.500
2010-05-11,0.400,9.050
2010-05-13,2.700,16.100
2010-05-15,0.100,16.000
2010-05-16,0.100,10.000
2010-05-23,1.200,9.367
2010-05-24,0.543,6.514
2010-05-28,0.400,6.900
2010-05-29,1.700,7.700
2010-06-01,0.200,11.350
2010-06-06,0.350,8.800
2010-06-07,1.050,11.350
2010-06-08,0.700,10.517
2010-06-09,0.250,12.300
2010-06-10,0.550,11.500
2010-06-11,2.737,14.662
2010-06-13,0.200,9.800
2010-06-18,1.150,11.950
2010-06-19,1.342,11.650
2010-06-25,0.525,13.825
2010-07-06,3.033,18.067
2010-07-07,1.425,17.600
2010-07-14,0.300,22.400
2010-07-18,1.000,20.957
2010-07-23,0.300,19.100
2010-07-24,0.600,16.800
2010-07-25,0.100,19.800
2010-07-27,4.900,16.550
2010-07-28,2.300,17.050
2010-07-29,0.600,22.000
2010-07-30,0.150,18.600
2010-08-03,2.671,18.657
2010-08-04,0.967,18.733
2010-08-07,4.100,19.300
2010-08-08,0.467,20.267
2010-08-09,1.117,19.233
2010-08-17,0.700,19.600
2010-08-18,1.060,18.000
2010-08-19,1.450,14.100
2010-08-22,2.100,18.500
2010-08-24,1.617,15.500
2010-08-25,2.317,14.883
2010-08-26,2.883,14.367
2010-08-28,1.386,12.171
2010-08-29,0.350,10.625
2010-08-31,4.100,13.300
2010-09-03,0.250,9.950
2010-09-04,0.100,9.600
2010-09-10,0.300,12.533
2010-09-11,1.000,14.300
2010-09-12,0.200,15.300
2010-09-14,0.483,13.650
2010-09-15,1.260,13.470
2010-09-16,1.075,12.600
2010-09-17,2.667,12.467
2010-09-18,1.480,12.120
2010-09-19,0.267,11.633
2010-09-20,1.200,14.300
2010-09-21,0.925,13.040
2010-09-27,0.233,9.533
2010-10-11,0.200,6.900
2010-10-12,0.250,6.850
2010-10-13,0.550,5.300
2010-10-14,0.389,6.700
2010-10-15,0.267,2.933
2010-10-16,0.300,3.225
2010-10-17,1.100,5.600
2010-10-18,0.300,7.150
2010-10-19,0.300,6.750
2010-10-20,0.556,6.711
2010-10-21,0.562,4.575
2010-10-22,0.767,2.050
2010-10-23,0.738,6.125
2010-10-24,0.583,6.875
2010-10-26,0.200,4.600
2010-10-27,0.650,6.650
2010-10-28,0.200,7.683
2010-10-29,0.300,8.300
2010-11-02,0.700,6.800
2010-11-03,0.400,8.257
2010-11-06,0.367,5.217
2010-11-09,1.025,2.144
2010-11-10,0.200,5.900
2010-11-11,0.550,4.750
2010-11-12,0.822,4.989
2010-11-13,0.200,6.900
2010-11-14,0.300,6.800
2010-11-15,0.200,5.900
2010-11-16,0.233,4.700
2010-11-17,0.250,0.100
2010-11-18,0.780,0.220
2010-11-19,0.371,2.357
2010-11-20,0.264,2.418
2010-11-21,0.267,1.800
2010-11-22,0.317,0.883
2010-11-23,0.447,0.793
2010-11-24,0.383,-1.013
2010-11-25,0.900,-1.650
2010-11-26,0.294,-5.565
2010-11-27,0.280,-5.920
2010-11-28,0.200,-7.400
2010-11-29,0.567,-8.633
2010-11-30,0.433,-7.433
2010-12-03,0.450,-7.050
2010-12-04,0.583,-1.450
