Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2008-01-01,0.333,0.933
2008-01-02,0.150,-1.900
2008-01-06,0.267,-4.333
2008-01-07,0.140,-3.640
2008-01-08,0.283,0.650
2008-01-09,0.250,1.500
2008-01-10,0.267,1.133
2008-01-19,0.882,3.255
2008-01-21,0.250,1.900
2008-01-24,0.657,1.243
2008-01-25,0.600,3.267
2008-01-27,0.200,0.850
2008-01-30,0.333,3.700
2008-02-01,0.333,1.733
2008-02-02,0.300,2.250
2008-02-03,0.600,1.050
2008-02-05,0.350,1.750
2008-02-06,0.683,2.517
2008-02-07,0.100,2.600
2008-02-10,0.625,3.375
2008-02-13,0.200,2.400
2008-02-14,0.300,-1.700
2008-02-18,0.300,2.867
2008-02-22,0.943,3.700
2008-02-23,0.150,3.300
2008-02-24,0.467,3.200
2008-02-26,0.500,3.900
2008-02-27,0.582,4.536
2008-02-28,0.200,3.300
2008-02-29,1.100,3.050
2008-03-01,0.329,2.071
2008-03-02,0.288,1.129
2008-03-03,0.275,0.400
2008-03-04,0.300,-0.300
2008-03-06,0.362,1.363
2008-03-08,0.350,2.300
2008-03-12,0.300,3.475
2008-03-13,0.200,3.000
2008-03-15,0.300,2.367
2008-03-16,0.175,0.225
2008-03-19,0.400,-0.600
2008-03-20,0.200,-1.400
2008-03-21,0.300,-1.800
2008-03-22,0.333,-0.533
2008-03-23,0.300,-2.900
2008-03-24,0.200,-2.900
2008-03-25,0.200,-1.900
2008-03-26,0.433,-1.962
2008-04-05,0.100,4.900
2008-04-06,1.000,5.700
2008-04-08,0.400,4.700
2008-04-09,0.350,3.900
2008-04-12,1.037,5.125
2008-04-15,0.600,6.600
2008-04-17,0.560,4.340
2008-05-16,0.267,6.833
2008-06-14,1.500,13.717
2008-06-17,1.883,12.183
2008-06-20,2.100,15.167
2008-06-23,3.967,13.817
2008-06-24,1.012,12.925
2008-06-28,1.900,13.900
2008-07-12,0.320,17.680
2008-07-14,2.240,13.420
2008-07-16,0.800,17.100
2008-07-17,0.200,15.900
2008-07-21,0.100,17.700
2008-08-02,1.917,19.100
2008-08-03,0.614,18.129
2008-08-04,2.913,18.337
2008-08-05,0.300,18.000
2008-08-07,0.200,16.900
2008-08-08,0.400,17.700
2008-08-10,0.700,18.600
2008-08-11,1.550,16.650
2008-08-12,2.871,18.171
2008-08-13,2.100,18.120
2008-08-14,2.700,17.150
2008-08-16,0.433,15.433
2008-08-18,0.100,16.600
2008-08-19,0.940,15.760
2008-08-20,2.600,17.400
2008-08-23,1.050,15.075
2008-08-24,0.892,14.492
2008-08-25,1.189,15.578
2008-08-27,1.133,15.950
2008-08-28,0.800,16.283
2008-08-29,1.400,13.800
2008-08-30,1.000,11.750
2008-09-01,0.500,14.400
2008-09-04,1.250,14.075
2008-09-05,0.950,15.250
2008-09-06,0.350,15.600
2008-09-07,0.240,15.820
2008-09-08,2.447,13.933
2008-09-09,0.425,13.100
2008-09-10,0.240,12.300
2008-09-11,0.375,10.500
2008-09-17,0.500,5.800
2008-09-28,0.367,13.233
2008-09-29,0.500,10.400
2008-09-30,0.200,11.300
2008-10-01,0.908,10.758
2008-10-02,1.091,10.818
2008-10-03,0.640,10.950
2008-10-04,0.300,10.500
2008-10-05,0.333,10.233
2008-10-06,0.500,11.100
2008-10-09,0.300,11.450
2008-10-11,0.150,11.775
2008-10-13,0.667,11.700
2008-10-15,0.500,10.000
2008-10-16,0.556,10.756
2008-10-17,0.357,8.371
2008-10-18,0.100,7.800
2008-10-19,0.546,9.969
2008-10-21,0.800,12.200
2008-10-23,0.300,8.700
2008-10-25,0.320,10.080
2008-10-26,0.682,10.618
2008-10-27,0.771,10.214
2008-10-28,0.300,9.020
2008-10-29,0.400,7.050
2008-10-30,0.700,7.600
2008-10-31,0.237,7.463
2008-11-01,0.300,5.300
2008-11-09,0.733,7.633
2008-11-10,0.450,8.917
2008-11-11,0.700,8.750
2008-11-13,0.180,7.220
2008-11-14,1.229,7.129
2008-11-15,0.880,9.120
2008-11-16,0.314,3.871
2008-11-17,0.317,1.400
2008-11-18,0.267,4.467
2008-11-19,0.770,3.270
2008-11-20,0.290,2.050
2008-11-21,0.400,-0.300
2008-11-22,0.200,-0.300
2008-11-23,0.562,-1.246
2008-11-24,0.515,0.046
2008-11-26,0.860,2.420
2008-11-28,0.400,5.400
