Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2004-02-01,0.400,0.571
2004-02-03,0.400,-0.400
2004-02-04,0.800,1.780
2004-02-06,0.600,2.175
2004-02-07,0.400,1.212
2004-02-08,0.200,0.333
2004-02-10,0.333,-2.333
2004-02-13,0.200,-0.550
2004-02-14,0.200,0.650
2004-02-15,0.250,0.275
2004-02-17,0.677,0.031
2004-02-18,0.440,-0.960
2004-03-01,0.200,0.000
2004-03-02,0.450,-0.625
2004-03-03,0.500,-2.200
2004-03-14,0.818,0.400
2004-03-15,0.200,1.500
2004-03-16,1.171,2.271
2004-03-19,0.667,1.767
2004-03-20,0.527,1.855
2004-03-21,0.800,1.333
2004-03-23,0.400,2.600
2004-03-24,0.514,1.757
2004-03-25,0.445,0.573
2004-03-26,0.250,0.325
2004-03-27,0.200,0.500
2004-03-28,0.333,0.433
2004-04-05,0.300,3.800
2004-04-07,0.743,2.886
2004-04-10,0.500,2.950
2004-04-20,0.500,5.650
2004-04-21,0.400,6.850
2004-05-03,0.400,10.980
2004-05-04,0.333,10.633
2004-05-09,0.200,12.900
2004-05-10,0.400,12.150
2004-05-11,0.200,8.400
2004-05-14,0.400,6.900
2004-05-15,0.400,7.250
2004-05-18,0.300,10.100
2004-05-19,0.567,8.617
2004-05-20,0.600,7.600
2004-05-22,0.600,5.825
2004-05-23,0.440,5.300
2004-05-24,1.400,4.967
2004-05-26,0.350,8.150
2004-05-27,0.200,9.000
2004-06-08,1.667,11.433
2004-06-10,0.533,10.283
2004-06-12,2.560,11.920
2004-06-13,0.267,11.100
2004-06-14,1.560,11.920
2004-06-15,0.440,11.360
2004-06-17,0.200,12.200
2004-06-20,1.400,12.575
2004-06-21,0.382,12.264
2004-06-22,0.400,13.367
2004-06-24,1.156,13.789
2004-06-27,0.429,13.186
2004-07-01,0.200,16.850
2004-07-02,0.782,13.900
2004-07-04,0.500,14.050
2004-07-06,0.233,14.850
2004-07-09,1.000,16.800
2004-07-10,0.733,17.000
2004-07-11,0.400,15.467
2004-07-12,0.367,14.750
2004-07-14,0.200,14.700
2004-07-19,0.520,18.340
2004-07-20,0.200,17.700
2004-07-22,0.500,18.867
2004-07-23,2.267,17.967
2004-07-27,4.062,16.700
2004-07-28,0.533,16.600
2004-07-30,0.400,17.550
2004-07-31,0.200,17.100
2004-08-02,1.880,18.880
2004-08-09,0.200,22.100
2004-08-13,0.200,17.100
2004-08-15,0.733,17.067
2004-08-16,0.533,17.400
2004-08-17,0.733,17.783
2004-08-19,0.500,20.500
2004-08-20,0.400,17.100
2004-08-21,0.200,16.900
2004-08-23,1.067,15.000
2004-08-25,0.657,14.543
2004-08-26,0.667,16.400
2004-08-28,0.400,16.600
2004-08-30,2.100,16.650
2004-08-31,0.500,17.150
2004-09-01,0.200,16.200
2004-09-03,0.450,16.050
2004-09-06,0.800,15.400
2004-09-07,0.400,11.400
2004-09-08,0.927,10.109
2004-09-11,0.200,16.000
2004-09-12,0.200,16.600
2004-09-13,0.200,16.300
2004-09-15,1.400,15.267
2004-09-16,0.650,12.225
2004-09-21,0.971,12.957
2004-09-22,0.525,11.713
2004-09-23,1.153,11.441
2004-09-24,1.933,11.033
2004-09-25,0.333,12.400
2004-09-26,0.267,12.000
2004-09-27,0.667,12.733
2004-10-05,0.200,11.950
2004-10-06,0.733,13.367
2004-10-07,0.400,13.200
2004-10-08,0.600,10.660
2004-10-09,0.333,8.500
2004-10-10,0.743,5.743
2004-10-17,0.867,8.833
2004-10-18,0.657,7.086
2004-10-19,0.200,8.050
2004-10-21,0.850,6.425
2004-10-22,0.200,9.600
2004-10-23,0.585,10.369
2004-10-24,0.400,9.292
2004-10-25,0.550,10.100
2004-10-29,0.825,6.463
2004-10-30,1.371,5.571
2004-10-31,0.560,5.260
2004-11-05,0.600,8.067
2004-11-06,0.550,6.763
2004-11-07,0.200,6.600
2004-11-13,0.800,6.060
2004-11-14,0.333,5.100
2004-11-15,0.911,8.111
2004-11-16,0.920,0.380
2004-11-17,0.600,1.550
2004-11-18,0.956,0.533
2004-11-20,0.200,-1.900
2004-11-21,0.200,-0.400
2004-11-22,0.200,0.650
2004-11-25,0.200,3.533
2004-11-26,0.200,1.100
2004-12-01,0.200,4.800
2004-12-02,0.350,3.075
2004-12-03,0.250,2.175
2004-12-05,0.300,5.950
2004-12-06,0.543,5.571
2004-12-07,0.200,6.300
2004-12-08,0.200,4.900
2004-12-10,0.200,5.600
2004-12-15,0.450,4.450
2004-12-17,0.200,2.300
2004-12-18,0.200,3.200
2004-12-19,0.633,2.100
2004-12-23,0.300,1.500
2004-12-24,0.200,3.700
2004-12-25,0.450,1.050
2004-12-28,0.200,1.067
2004-12-29,0.250,1.650
2004-12-30,0.950,3.812
2004-12-31,1.550,5.000
2005-01-02,0.200,2.650
2005-01-03,0.300,2.500
2005-01-04,0.600,2.500
2005-01-05,0.343,3.629
2005-01-06,0.200,4.100
2005-01-07,0.314,4.643
2005-01-08,0.200,6.000
2005-01-09,0.200,5.700
2005-01-10,0.200,4.500
2005-01-12,0.200,5.200
2005-01-13,0.700,4.200
