Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2004-02-01,0.667,0.833
2004-02-03,0.200,0.200
2004-02-04,0.680,2.220
2004-02-06,0.367,1.467
2004-02-07,0.233,0.983
2004-02-08,0.300,0.000
2004-02-14,0.200,1.700
2004-02-15,0.300,0.450
2004-02-17,0.289,0.244
2004-02-18,0.200,0.200
2004-02-23,0.400,-0.867
2004-02-25,0.300,-0.600
2004-02-26,0.200,-0.333
2004-03-02,0.657,-1.529
2004-03-14,0.971,0.414
2004-03-15,0.300,2.350
2004-03-16,1.029,2.071
2004-03-19,0.733,2.533
2004-03-20,0.600,2.167
2004-03-21,1.233,1.117
2004-03-23,0.600,1.075
2004-03-24,0.300,2.350
2004-03-25,0.338,1.056
2004-03-27,0.200,1.400
2004-03-28,0.200,1.850
2004-04-05,0.400,3.667
2004-04-07,0.300,5.100
2004-04-10,0.400,3.000
2004-04-19,1.200,6.950
2004-04-20,0.629,6.143
2004-04-21,0.400,5.750
2004-05-13,0.700,5.450
2004-05-14,0.480,6.780
2004-05-15,1.300,7.550
2004-05-18,0.600,8.450
2004-05-19,0.450,8.300
2004-05-23,0.540,5.580
2004-05-24,0.600,5.100
2004-05-25,0.267,6.967
2004-05-26,0.200,7.800
2004-05-29,0.400,7.600
2004-05-30,0.320,7.480
2004-06-07,0.600,12.467
2004-06-08,3.083,11.675
2004-06-10,0.350,10.425
2004-06-11,0.200,11.800
2004-06-12,0.850,11.775
2004-06-14,1.960,12.160
2004-06-15,0.200,11.800
2004-06-16,0.200,12.100
2004-06-19,0.200,12.600
2004-06-20,1.800,12.267
2004-06-22,0.600,12.800
2004-06-24,2.267,13.567
2004-06-25,0.200,13.700
2004-06-26,0.500,14.700
2004-07-02,1.480,13.010
2004-07-04,0.500,12.725
2004-07-06,0.800,14.300
2004-07-09,1.600,15.000
2004-07-10,0.467,15.300
2004-07-12,0.500,13.688
2004-07-13,1.000,14.800
2004-07-19,4.920,17.520
2004-07-22,3.867,17.883
2004-07-23,0.600,17.200
2004-07-27,1.186,15.600
2004-07-28,0.200,16.300
2004-08-02,1.511,19.100
2004-08-09,4.200,20.700
2004-08-13,1.400,15.300
2004-08-15,0.500,15.825
2004-08-16,8.250,16.625
2004-08-17,1.311,17.022
2004-08-22,0.933,16.900
2004-08-23,0.200,14.500
2004-08-25,0.800,14.200
2004-08-26,0.400,16.333
2004-08-28,0.200,16.033
2004-08-30,5.600,15.950
2004-08-31,0.657,15.986
2004-09-02,2.200,15.000
2004-09-03,0.640,15.960
2004-09-06,0.800,15.600
2004-09-07,1.533,12.200
2004-09-08,0.511,10.922
2004-09-11,0.200,15.900
2004-09-12,0.600,16.300
2004-09-15,2.300,12.550
2004-09-16,0.440,11.880
2004-09-20,1.000,13.700
2004-09-21,1.109,12.582
2004-09-22,0.554,11.992
2004-09-23,0.567,11.550
2004-09-24,1.250,12.575
2004-09-25,0.500,13.250
2004-09-26,0.200,12.700
2004-09-27,1.300,13.275
2004-10-05,1.000,11.700
2004-10-06,0.200,13.600
2004-10-07,0.600,11.800
2004-10-08,1.367,10.733
2004-10-09,0.667,5.800
2004-10-10,0.733,6.417
2004-10-16,0.200,7.500
2004-10-17,0.600,8.900
2004-10-18,0.300,7.300
2004-10-21,0.567,7.033
2004-10-22,0.400,10.450
2004-10-23,1.554,10.700
2004-10-24,0.317,9.558
2004-10-25,1.500,10.375
2004-10-27,0.400,8.300
2004-10-29,0.600,7.287
2004-10-30,1.933,6.089
2004-10-31,0.400,5.900
2004-11-04,0.733,8.233
2004-11-05,1.123,7.823
2004-11-06,0.667,6.750
2004-11-07,0.400,6.750
2004-11-08,0.200,6.000
2004-11-11,0.400,8.000
2004-11-12,0.525,8.438
2004-11-13,0.525,7.112
2004-11-14,0.600,5.100
2004-11-15,1.080,8.200
2004-11-18,0.950,0.875
2004-11-20,0.360,-0.820
2004-11-21,0.600,-1.100
2004-11-22,0.900,0.083
2004-11-23,3.560,-0.670
2004-11-25,0.600,3.220
2004-11-26,0.600,1.250
2004-11-29,0.200,2.000
2004-12-02,0.200,2.800
2004-12-03,0.200,2.267
2004-12-05,0.550,6.350
2004-12-06,0.525,5.713
2004-12-08,0.400,5.600
2004-12-15,0.650,5.700
2004-12-17,0.640,3.040
2004-12-18,0.267,4.050
2004-12-19,0.300,1.875
2004-12-22,0.200,-0.100
2004-12-23,0.600,2.080
2004-12-24,0.400,5.400
2004-12-25,0.400,1.475
2004-12-26,0.200,3.100
2004-12-28,0.200,0.067
2004-12-30,2.218,4.536
2004-12-31,1.600,5.700
2005-01-02,0.333,3.500
2005-01-03,0.200,3.750
2005-01-04,0.400,2.750
2005-01-05,0.650,4.625
2005-01-06,0.400,4.000
2005-01-07,0.800,4.850
2005-01-08,0.425,5.700
2005-01-13,0.800,4.500
2005-01-14,0.200,1.800
2005-01-19,0.200,-0.483
2005-01-20,0.200,1.300
2005-01-21,0.327,2.064
