Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2004-04-21,1.360,5.060
2004-04-22,0.425,3.550
2004-05-04,0.533,15.467
2004-05-05,1.200,13.900
2004-05-14,0.200,5.367
2004-05-18,1.520,9.640
2004-05-19,0.850,8.325
2004-05-23,0.267,6.600
2004-05-24,0.600,6.300
2004-05-28,0.700,8.050
2004-05-29,1.050,9.625
2004-05-30,0.575,6.900
2004-06-07,1.640,12.120
2004-06-08,0.978,8.922
2004-06-11,0.700,11.000
2004-06-12,0.900,12.383
2004-06-13,0.500,10.900
2004-06-14,0.800,12.150
2004-06-16,0.200,10.300
2004-06-20,1.467,11.633
2004-06-21,0.200,10.850
2004-06-23,0.667,13.533
2004-06-24,1.320,13.340
2004-06-25,1.600,15.000
2004-06-26,1.467,13.383
2004-06-27,1.000,13.356
2004-06-28,0.200,13.533
2004-06-29,0.300,13.100
2004-06-30,1.538,12.850
2004-07-01,1.200,13.000
2004-07-02,0.375,14.662
2004-07-03,2.514,12.714
2004-07-04,0.200,19.100
2004-07-05,0.400,15.700
2004-07-06,0.733,15.100
2004-07-07,1.000,13.400
2004-07-10,3.400,15.240
2004-07-11,1.000,15.850
2004-07-13,2.720,14.400
2004-07-14,0.600,16.400
2004-07-15,1.000,15.000
2004-07-19,0.400,17.400
2004-07-20,0.733,16.600
2004-07-23,0.400,18.400
2004-07-24,0.267,18.967
2004-07-26,0.200,15.500
2004-07-27,7.700,16.650
2004-07-28,2.657,15.986
2004-07-29,3.710,15.360
2004-07-30,1.167,16.733
2004-07-31,2.140,17.150
2004-08-01,0.300,18.950
2004-08-02,0.700,18.800
2004-08-16,2.800,14.600
2004-08-17,1.043,16.314
2004-08-18,3.400,20.100
2004-08-19,0.200,19.600
2004-08-21,0.200,16.200
2004-08-22,3.133,16.200
2004-08-23,0.800,12.443
2004-08-24,0.400,9.300
2004-08-25,1.360,11.420
2004-08-26,0.840,13.700
2004-08-30,0.600,15.400
2004-08-31,1.914,15.986
2004-09-01,0.450,14.938
2004-09-02,1.450,14.275
2004-09-03,1.050,15.100
2004-09-06,0.200,14.400
2004-09-07,3.500,11.200
2004-09-12,0.400,17.100
2004-09-13,2.100,13.688
2004-09-15,0.300,13.700
2004-09-16,0.760,10.920
2004-09-19,0.333,12.133
2004-09-20,0.400,12.800
2004-09-21,0.622,11.756
2004-09-22,0.371,11.843
2004-09-23,1.233,10.083
2004-09-24,0.733,10.133
2004-09-25,1.471,10.600
2004-09-26,0.200,9.600
2004-09-27,0.933,11.733
2004-09-28,0.675,10.488
2004-09-29,1.520,11.160
