Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2004-05-09,0.550,13.250
2004-05-10,1.267,10.333
2004-05-11,0.200,3.300
2004-05-15,0.200,6.700
2004-05-18,0.733,10.033
2004-05-19,0.550,8.450
2004-05-20,0.367,7.850
2004-05-22,0.200,5.650
2004-05-23,0.650,5.317
2004-05-24,1.100,5.400
2004-05-25,0.533,4.000
2004-05-27,0.360,8.680
2004-05-29,0.600,12.400
2004-05-30,0.200,7.100
2004-06-08,2.341,11.059
2004-06-11,0.600,15.900
2004-06-12,0.844,13.411
2004-06-13,0.280,10.660
2004-06-14,0.800,12.650
2004-06-15,0.850,11.800
2004-06-17,0.400,10.250
2004-06-20,0.900,12.250
2004-06-21,1.693,12.687
2004-06-22,0.783,10.967
2004-06-24,1.933,16.350
2004-06-25,1.867,15.067
2004-06-26,0.300,14.700
2004-06-27,1.000,13.053
2004-06-28,0.800,13.767
2004-06-29,0.200,15.500
2004-06-30,0.500,13.050
2004-07-01,0.200,12.800
2004-07-02,0.360,15.020
2004-07-03,2.020,12.170
2004-07-04,0.333,16.800
2004-07-06,0.800,13.600
2004-07-07,1.300,13.475
2004-07-10,0.500,15.567
2004-07-11,2.533,13.867
2004-07-13,0.300,14.900
2004-07-17,0.200,16.400
2004-07-24,2.160,18.620
2004-07-28,0.360,15.520
2004-07-29,1.100,15.537
2004-07-30,0.900,17.238
2004-07-31,1.100,18.275
2004-08-02,0.600,22.050
2004-08-09,0.400,21.400
2004-08-11,4.200,17.300
2004-08-13,0.567,13.683
2004-08-15,0.200,15.400
2004-08-17,0.760,17.800
2004-08-19,0.200,20.000
2004-08-20,1.800,17.225
2004-08-21,2.333,14.667
2004-08-22,0.200,16.600
2004-08-23,0.500,16.200
2004-08-25,0.711,11.733
2004-08-26,0.500,14.350
2004-08-31,3.343,17.271
2004-09-01,0.867,14.783
2004-09-02,0.200,12.200
2004-09-04,0.200,14.950
2004-09-06,0.600,14.375
2004-09-07,0.200,9.540
2004-09-08,1.520,8.740
2004-09-12,0.640,15.500
2004-09-13,0.650,13.850
2004-09-14,2.000,15.000
2004-09-15,0.200,13.900
2004-09-16,1.000,10.150
2004-09-18,0.200,13.100
2004-09-21,0.938,11.977
2004-09-22,0.280,10.840
2004-09-23,1.075,10.100
2004-09-24,1.200,9.250
2004-09-25,1.491,10.255
2004-09-26,0.200,11.200
2004-09-27,0.367,10.417
2004-09-28,0.300,12.200
2004-10-06,0.686,14.957
2004-10-07,1.400,9.750
2004-10-08,0.350,9.250
2004-10-09,0.600,6.614
2004-10-16,0.200,4.500
2004-10-17,0.200,7.900
2004-10-18,0.613,6.400
2004-10-19,0.367,4.383
2004-10-20,0.320,4.400
2004-10-22,0.350,4.900
2004-10-23,1.153,8.976
2004-10-25,1.300,7.500
2004-10-27,0.400,6.700
2004-10-29,0.371,3.686
2004-10-31,0.825,2.225
2004-11-05,0.400,5.500
2004-11-06,0.475,5.612
2004-11-12,0.200,6.950
2004-11-13,0.600,4.100
2004-11-14,0.200,1.300
2004-11-15,0.600,6.900
2004-11-16,0.400,0.900
2004-11-17,0.500,-1.475
2004-11-25,0.200,-1.400
2004-11-30,0.200,-0.100
2004-12-01,0.233,2.300
2004-12-02,0.229,-0.286
2004-12-04,0.333,1.100
2004-12-05,0.225,3.837
2004-12-06,0.378,2.767
2004-12-08,0.200,2.400
2004-12-16,0.200,3.800
2004-12-18,0.200,0.800
2004-12-19,0.422,-0.167
2004-12-20,0.200,-2.100
2004-12-24,0.400,0.229
2004-12-25,0.500,-0.650
2004-12-26,0.200,1.200
2004-12-29,0.200,0.350
2004-12-30,0.350,0.450
2004-12-31,0.371,1.343
2005-01-02,0.200,0.200
2005-01-03,0.564,0.300
2005-01-05,0.429,0.400
2005-01-06,0.200,2.000
2005-01-07,0.400,4.013
2005-01-08,0.340,6.470
2005-01-09,0.989,2.633
2005-01-10,0.444,4.933
2005-01-11,0.320,7.240
2005-01-12,0.300,5.800
2005-01-13,0.400,2.500
2005-01-14,0.467,2.533
2005-01-16,0.360,-0.200
2005-01-17,0.200,0.900
2005-05-03,0.700,6.700
2005-05-04,0.200,6.200
2005-05-07,1.800,7.067
