Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2007-10-27,0.200,4.700
2007-10-29,0.150,8.250
2007-10-30,0.200,8.400
2007-10-31,1.000,7.733
2007-11-01,0.500,8.170
2007-11-03,0.667,0.175
2007-11-07,0.511,-0.978
2007-11-08,0.225,0.725
2007-11-09,0.530,1.230
2007-11-10,0.557,0.814
2007-11-11,0.200,0.150
2007-11-12,0.300,-0.517
2007-11-13,0.200,-2.300
2007-11-14,0.300,-2.900
2007-11-15,0.400,-2.500
2007-11-16,0.525,0.963
2007-11-18,0.429,-2.157
2007-11-23,0.480,1.930
2007-11-24,0.100,2.000
2007-11-25,0.175,-0.075
2007-11-26,0.344,0.756
2007-11-27,0.233,0.322
2007-11-29,0.475,-1.469
2007-11-30,0.367,-1.900
2007-12-02,0.617,-2.767
2007-12-03,0.600,0.567
2007-12-04,0.708,2.533
2007-12-06,0.214,4.229
2007-12-07,0.583,3.350
2007-12-08,0.633,5.407
2007-12-09,1.600,4.600
2007-12-10,0.100,4.000
2007-12-11,0.233,3.767
2007-12-12,0.200,3.400
2007-12-23,0.200,0.700
2007-12-24,0.200,2.200
2007-12-25,0.367,1.500
2007-12-26,0.300,-2.000
2007-12-28,0.322,0.878
2007-12-29,0.287,4.506
2007-12-30,0.325,3.225
2007-12-31,0.333,-0.567
2008-01-01,0.200,-1.600
2008-01-06,0.200,-6.600
2008-01-07,0.341,-6.500
2008-01-08,0.200,-3.900
2008-01-09,0.543,-2.100
2008-01-10,0.433,0.433
2008-01-11,0.375,1.375
2008-01-12,0.200,2.750
2008-01-13,0.200,3.000
2008-01-17,0.200,1.167
2008-01-18,0.520,1.200
2008-01-19,1.154,3.123
2008-01-20,0.340,1.940
2008-01-21,0.600,1.740
2008-01-22,0.325,-0.900
2008-01-24,1.025,-1.025
2008-01-25,0.700,1.500
2008-01-27,0.300,0.500
2008-01-30,0.500,3.144
2008-01-31,0.200,1.200
2008-02-01,0.378,-0.322
2008-02-02,0.650,2.150
2008-02-03,0.925,0.975
2008-02-04,0.400,2.700
2008-02-05,0.217,1.250
2008-02-07,1.000,0.383
2008-02-10,0.236,4.321
2008-02-11,0.662,0.600
2008-02-12,0.200,0.300
2008-02-13,0.150,0.625
2008-02-14,0.200,-3.500
2008-02-15,0.200,-4.400
2008-02-17,0.360,0.900
2008-02-19,0.500,-1.300
2008-02-20,0.300,1.733
2008-02-22,1.373,2.809
2008-02-23,0.950,0.250
2008-02-24,0.400,3.317
2008-02-25,0.400,4.725
