Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2004-03-14,0.333,0.383
2004-03-15,0.433,1.483
2004-03-16,0.333,2.000
2004-03-17,0.400,2.667
2004-03-20,0.667,2.300
2004-03-21,0.280,0.520
2004-03-22,0.240,0.320
2004-03-24,0.500,0.450
2004-03-25,0.573,0.173
2004-03-28,0.200,0.200
2004-04-10,0.800,2.600
2004-04-11,0.700,3.000
2004-04-21,0.300,5.750
2004-04-22,0.600,4.611
2004-04-29,0.400,3.100
2004-05-04,1.867,14.167
2004-05-09,0.300,15.950
2004-05-10,0.300,14.900
2004-05-11,0.800,5.300
2004-05-14,0.250,4.125
2004-05-15,1.533,6.892
2004-05-18,0.833,9.683
2004-05-19,0.200,8.700
2004-05-20,0.700,8.650
2004-05-23,0.280,6.140
2004-05-24,1.000,8.700
2004-05-25,0.200,11.700
2004-05-28,0.533,12.567
2004-05-30,0.633,6.233
2004-05-31,0.900,7.300
2004-06-02,0.400,15.400
2004-06-04,0.500,13.300
2004-06-06,2.500,14.200
2004-06-07,0.920,13.220
2004-06-08,1.071,9.129
2004-06-10,1.000,13.200
2004-06-11,0.267,12.867
2004-06-12,0.950,13.475
2004-06-14,0.267,12.667
2004-06-16,1.300,8.850
2004-06-19,0.467,14.133
2004-06-20,1.100,12.250
2004-06-21,0.860,11.620
2004-06-22,0.578,11.722
2004-06-23,0.680,11.980
2004-06-24,2.125,15.550
2004-06-25,0.800,14.433
2004-06-27,0.333,13.213
2004-06-28,2.000,12.940
2004-06-29,0.700,13.700
2004-06-30,1.288,13.119
2004-07-01,1.100,13.400
2004-07-02,1.200,14.100
2004-07-03,2.222,12.311
2004-07-04,0.800,15.200
2004-07-05,0.200,12.300
2004-07-06,0.800,15.350
2004-07-10,1.000,16.450
2004-07-11,1.500,15.350
2004-07-12,0.300,14.600
2004-07-13,0.829,14.043
2004-07-14,0.440,13.260
2004-07-20,0.267,15.600
2004-07-27,0.600,18.300
2004-07-28,0.520,15.760
2004-07-29,1.080,15.205
2004-07-30,2.171,16.414
2004-07-31,2.040,17.740
2004-08-02,1.400,19.800
2004-08-11,1.467,16.267
2004-08-14,0.267,12.067
2004-08-17,1.050,16.387
2004-08-18,1.200,16.700
2004-08-20,0.800,17.800
2004-08-21,0.714,14.457
2004-08-22,1.400,15.900
2004-08-23,0.800,13.800
2004-08-24,0.200,12.900
2004-08-25,0.600,11.080
2004-08-26,0.920,12.980
2004-08-27,0.400,14.600
2004-08-30,2.467,17.800
2004-08-31,1.860,16.700
2004-09-01,1.350,15.075
2004-09-02,0.473,13.118
2004-09-06,0.667,14.200
2004-09-07,0.500,8.775
2004-09-08,0.250,8.700
2004-09-12,0.267,14.967
2004-09-13,0.600,13.567
2004-09-15,0.567,13.950
2004-09-16,0.600,10.157
2004-09-17,0.200,10.400
2004-09-18,0.200,13.400
2004-09-19,0.400,11.100
2004-09-21,0.917,11.633
2004-09-22,0.725,10.762
2004-09-23,0.880,9.520
2004-09-24,0.300,8.850
2004-09-25,1.829,9.607
2004-09-26,0.200,10.600
2004-09-27,0.317,10.508
2004-09-28,0.200,9.733
2004-09-29,0.400,11.050
2004-10-06,0.400,14.200
2004-10-07,0.600,10.200
2004-10-08,0.889,8.711
2004-10-09,0.333,6.467
2004-10-17,0.333,6.933
2004-10-18,0.556,6.600
2004-10-19,0.240,5.140
2004-10-20,0.200,3.836
2004-10-22,0.467,4.783
2004-10-23,1.050,8.533
2004-10-24,0.200,5.633
2004-10-25,1.800,5.400
2004-10-26,0.400,10.100
2004-10-27,0.700,8.250
2004-11-05,0.933,5.650
2004-11-06,0.300,4.925
2004-11-07,0.600,3.400
2004-11-12,0.300,6.775
2004-11-13,0.667,5.522
2004-11-15,0.733,6.667
2004-11-16,0.500,0.450
2005-01-02,0.200,0.100
2005-01-03,0.200,-0.133
2005-01-05,0.286,0.057
2005-01-06,0.550,1.275
2005-01-07,0.457,2.857
2005-01-08,0.550,4.225
2005-01-09,0.579,1.432
2005-01-10,0.644,3.156
2005-01-11,0.400,6.500
2005-01-12,0.400,4.750
2005-01-13,0.333,2.833
2005-01-14,0.480,1.460
2005-01-16,0.600,0.637
2005-03-24,0.200,1.100
2005-03-25,0.200,2.300
2005-04-07,0.240,6.380
2005-04-08,0.480,4.020
2005-04-09,0.544,6.006
2005-04-10,0.200,4.500
2005-04-11,0.667,2.867
2005-04-20,0.267,-2.367
2005-04-21,0.300,-1.900
2005-05-01,0.200,0.750
2005-05-02,0.200,0.900
2005-05-03,0.950,6.008
2005-05-08,0.700,8.550
2005-05-10,0.550,4.875
2005-05-11,0.567,5.700
2005-05-13,0.500,7.267
2005-05-14,0.333,6.433
2005-05-16,1.840,9.620
2005-05-17,0.640,6.080
2005-05-18,2.250,6.325
2005-05-19,0.400,7.400
2005-05-24,3.000,16.167
2005-05-26,0.300,9.250
2005-05-29,0.640,6.520
2005-05-31,2.029,10.714
2005-06-01,0.267,7.400
2005-06-04,0.956,12.922
2005-06-05,0.600,13.067
2005-06-06,0.200,13.800
2005-06-11,1.040,14.840
2005-06-12,0.700,11.725
2005-06-13,0.767,11.983
2005-06-25,1.533,13.500
2005-06-27,0.533,14.367
2005-06-28,0.400,11.800
2005-06-29,0.580,10.690
2005-06-30,0.400,13.650
2005-07-18,1.733,19.167
2005-07-19,0.867,16.256
2005-07-20,1.150,17.425
2005-07-22,0.200,13.700
2005-07-23,1.500,15.800
2005-07-24,0.320,17.640
2005-07-27,0.800,16.000
2005-07-30,4.000,15.840
2005-07-31,1.360,16.540
2005-08-02,0.400,16.200
2005-08-04,0.300,17.100
2005-08-05,1.543,15.443
2005-08-06,1.067,15.300
2005-08-08,0.967,18.400
2005-08-09,2.333,17.050
2005-08-10,0.967,13.183
2005-08-11,0.378,13.833
2005-08-12,1.945,15.555
2005-08-13,0.378,14.911
2005-08-15,0.950,16.825
2005-08-17,0.200,13.700
2005-08-22,0.200,14.500
2005-08-26,2.050,14.575
2005-08-27,0.900,14.925
2005-08-28,1.900,12.100
2005-08-29,0.200,17.400
2005-08-30,0.400,15.600
2005-09-09,0.400,15.700
2005-09-12,0.857,13.200
2005-09-14,0.867,12.933
2005-09-15,0.833,8.333
2005-09-16,0.500,7.700
2005-09-19,0.200,11.700
2005-09-23,0.200,14.500
2005-09-28,0.850,13.650
2005-09-29,0.600,12.250
2005-09-30,0.582,10.327
2005-10-01,0.200,10.600
2005-10-02,0.500,13.250
2005-10-14,0.200,8.700
2005-10-15,0.455,5.900
2005-10-16,0.422,6.011
2005-10-21,0.200,7.200
2005-10-22,1.022,9.456
2005-10-23,0.800,8.500
2005-10-26,1.222,0.211
2005-10-27,0.400,0.400
2005-11-04,0.300,6.950
2005-11-05,0.250,5.675
2005-11-06,0.440,6.260
2005-11-07,0.600,8.500
2005-11-11,0.250,6.350
2005-11-13,0.229,8.129
2005-11-14,1.156,6.200
2005-11-15,0.300,6.825
2005-11-16,0.867,-0.333
2005-11-18,0.200,-0.400
2005-11-19,0.200,-0.600
2005-11-25,0.200,-1.000
2005-11-26,0.300,-1.225
2005-11-27,0.200,-1.300
2005-11-28,0.473,1.400
2005-11-30,0.200,-0.550
2005-12-01,0.240,-0.560
2005-12-02,0.300,1.525
2006-04-01,0.333,2.600
2006-04-02,0.200,-0.800
2006-04-03,0.400,3.100
2006-04-05,0.650,0.800
2006-04-07,0.200,1.500
2006-04-08,0.200,2.400
2006-04-09,1.400,3.300
2006-04-10,0.467,2.217
2006-04-11,0.200,2.250
2006-04-17,0.267,5.533
2006-04-19,0.700,5.050
2006-04-20,1.000,5.533
2006-04-21,0.200,1.300
2006-05-18,0.200,6.400
2006-05-19,0.686,7.786
2006-05-20,0.257,10.343
2006-05-21,0.750,11.725
2006-05-22,1.100,9.450
2006-05-23,0.933,14.567
2006-05-24,0.400,8.900
2006-05-25,1.733,8.933
2006-05-26,1.000,7.300
2006-05-30,0.700,11.050
2006-05-31,0.500,13.100
2006-06-01,0.460,9.550
2006-06-03,0.543,11.386
2006-06-04,0.200,11.067
2006-06-08,0.657,7.586
2006-06-22,2.640,19.920
2006-06-23,0.740,15.900
2006-07-10,3.200,17.800
2006-07-18,0.400,15.150
2006-07-29,0.680,13.020
2006-08-02,0.200,15.300
2006-08-03,0.550,15.338
2006-08-04,0.200,14.200
2006-08-15,1.000,16.600
2006-08-21,2.133,17.267
2006-08-22,1.080,15.940
2006-08-28,1.500,17.550
2006-08-31,0.588,14.856
2006-09-01,0.200,13.800
2006-09-02,0.200,16.000
2006-09-04,1.417,14.692
2006-09-07,0.267,13.533
2006-09-08,0.800,11.760
2006-09-09,0.240,10.120
2006-09-20,0.200,14.700
2006-09-28,0.200,13.300
2006-09-30,0.200,11.500
2006-10-01,0.300,11.700
2006-10-03,1.300,12.950
2006-10-04,0.200,11.600
2006-10-05,0.200,10.600
2006-10-06,1.400,9.850
2006-10-07,0.400,11.200
2006-10-08,0.440,11.660
2006-10-09,0.543,10.371
2006-10-10,0.200,6.300
2006-10-14,0.543,9.600
2006-10-15,0.233,6.283
2006-10-16,0.200,5.200
2006-10-17,0.400,8.067
2006-10-18,0.500,5.750
2006-10-19,0.450,4.275
2006-10-21,0.625,4.800
2006-10-22,0.433,8.833
2006-10-23,0.257,11.929
2006-10-24,1.000,13.200
2006-10-25,0.200,8.700
