Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2004-02-01,0.417,-0.875
2004-02-04,1.514,1.814
2004-02-05,0.200,3.500
2004-02-06,0.314,2.157
2004-02-07,0.362,1.444
2004-02-08,0.200,-2.550
2004-02-09,0.514,-0.843
2004-02-14,0.200,-0.900
2004-02-15,0.360,0.080
2004-02-17,0.400,-0.246
2004-02-18,0.240,-1.220
2004-02-21,0.200,-0.967
2004-02-25,0.200,-1.900
2004-02-26,0.250,-1.525
2004-02-27,0.400,-2.200
2004-03-01,0.350,-1.650
2004-03-02,0.300,-0.167
2004-03-03,0.200,-2.400
2004-03-14,0.200,1.600
2004-03-15,0.350,1.550
2004-03-16,1.255,3.955
2004-03-17,0.200,4.600
2004-03-19,0.333,3.467
2004-03-20,0.767,4.450
2004-03-21,0.614,1.779
2004-03-22,0.200,1.100
2004-03-23,0.300,3.300
2004-03-24,1.222,1.956
2004-03-25,0.200,2.900
2004-03-26,0.700,0.100
2004-03-28,0.200,3.000
2004-04-10,0.480,5.100
2004-04-21,0.240,10.780
2004-04-22,0.325,7.287
2004-05-05,1.000,15.200
2004-05-06,0.200,23.500
2004-05-09,0.467,11.767
2004-05-14,0.200,5.100
2004-05-15,0.567,6.283
2004-05-18,1.100,10.325
2004-05-19,1.120,8.400
2004-05-20,0.800,7.967
2004-05-22,0.550,4.800
2004-05-23,0.500,5.737
2004-05-24,0.267,6.733
2004-05-25,0.600,8.533
2004-05-27,0.850,9.850
2004-05-29,0.400,10.900
2004-06-01,0.200,12.800
2004-06-05,0.533,18.300
2004-06-08,1.133,11.373
2004-06-11,5.000,12.900
2004-06-12,0.275,12.850
2004-06-13,0.700,10.600
2004-06-14,1.160,12.860
2004-06-15,1.400,12.450
2004-06-17,0.486,10.500
2004-06-20,1.800,11.850
2004-06-21,2.333,13.183
2004-06-22,0.892,11.138
2004-06-24,0.450,17.050
2004-06-25,1.750,15.375
2004-06-26,0.733,14.067
2004-06-27,1.967,12.850
2004-06-30,0.200,13.350
2004-07-02,0.556,14.522
2004-07-04,2.200,15.817
2004-07-06,0.200,16.700
2004-07-07,1.480,15.600
2004-07-08,1.500,17.650
2004-07-10,1.229,16.514
2004-07-11,0.667,16.000
2004-07-12,0.300,17.300
2004-07-13,0.333,14.256
2004-07-14,0.533,13.633
2004-07-17,0.200,16.200
