Kuupäev,Tunni sademete summa mm,Õhutemperatuur °C
2004-03-15,0.250,1.800
2004-03-16,0.550,4.125
2004-03-17,0.200,5.050
2004-03-19,0.200,3.900
2004-03-20,0.220,4.130
2004-03-21,0.200,2.408
2004-03-22,0.200,1.614
2004-03-23,0.200,4.150
2004-03-24,0.222,2.100
2004-03-25,0.250,3.058
2004-03-26,0.200,-0.150
2004-04-10,0.200,4.550
2004-04-11,0.200,4.100
2004-04-21,0.200,11.900
2004-04-22,0.200,7.900
2004-05-09,0.267,10.933
2004-05-15,0.800,7.000
2004-05-16,0.200,9.200
2004-05-18,0.750,9.875
2004-05-19,1.000,8.400
2004-05-20,0.514,7.814
2004-05-21,0.200,9.950
2004-05-22,0.200,5.500
2004-05-23,0.333,4.133
2004-05-24,0.533,7.633
2004-05-27,1.067,9.344
2004-05-28,0.200,10.800
2004-05-29,0.400,12.800
2004-06-02,0.267,16.633
2004-06-06,0.500,19.250
2004-06-08,0.778,11.439
2004-06-12,0.971,13.243
2004-06-13,0.267,11.100
2004-06-14,0.920,12.960
2004-06-15,2.960,10.780
2004-06-17,0.400,11.586
2004-06-18,0.200,12.600
2004-06-19,0.933,12.967
2004-06-20,0.800,13.233
2004-06-21,1.667,13.900
2004-06-22,0.786,11.757
2004-06-23,1.400,12.300
2004-06-24,0.400,16.500
2004-06-25,4.467,15.967
2004-06-26,0.533,15.233
2004-06-27,2.013,13.393
2004-06-28,0.543,13.993
2004-06-30,1.560,13.160
2004-07-02,0.467,14.400
2004-07-03,0.900,14.033
2004-07-04,0.200,17.900
2004-07-06,0.600,16.300
2004-07-07,0.800,14.267
2004-07-10,1.050,16.025
2004-07-11,2.200,14.000
2004-07-13,0.733,14.367
2004-07-14,0.300,13.600
2004-07-17,1.200,15.600
2004-07-20,0.200,18.400
2004-07-24,0.200,22.500
2004-07-28,0.400,16.200
2004-07-29,1.400,16.346
2004-07-30,1.222,17.678
2004-07-31,0.200,18.100
2004-08-02,0.600,22.075
2004-08-07,6.500,21.950
2004-08-09,1.400,19.550
2004-08-11,1.800,16.800
2004-08-13,0.571,13.229
2004-08-14,0.550,13.900
2004-08-15,1.000,16.033
2004-08-17,0.600,19.000
2004-08-20,2.343,18.500
2004-08-21,4.467,15.083
2004-08-22,0.600,15.000
2004-08-23,0.600,14.800
2004-08-25,0.467,12.211
2004-08-26,0.600,15.500
2004-08-27,0.867,15.083
2004-08-31,2.200,18.380
2004-09-01,1.286,14.914
2004-09-02,0.567,14.617
2004-09-06,1.800,14.850
2004-09-07,1.500,11.200
2004-09-08,0.700,8.800
2004-09-09,0.200,5.100
2004-09-12,0.600,15.840
2004-09-15,1.333,14.733
2004-09-16,0.960,11.020
2004-09-21,0.489,12.356
2004-09-22,0.633,11.183
2004-09-23,0.978,10.244
2004-09-25,0.771,10.629
2004-09-27,0.200,11.500
2004-09-28,0.480,12.340
2004-09-29,0.200,8.700
2004-10-06,1.167,14.567
2004-10-08,0.200,10.500
2004-10-09,0.356,6.878
2004-10-17,0.200,8.200
2004-10-18,0.743,6.329
2004-10-19,0.350,4.300
2004-10-20,0.200,4.325
2004-10-22,0.300,5.150
2004-10-23,0.813,9.520
2004-10-24,0.333,7.200
2004-10-25,0.800,7.925
2004-10-28,0.200,6.300
2004-10-29,0.971,3.143
2004-10-31,1.425,2.525
2004-11-05,0.200,6.650
2004-11-06,0.340,5.620
2004-11-07,0.200,4.600
2004-11-12,0.320,7.120
2004-11-13,0.520,6.280
2004-11-14,0.600,2.100
2004-11-15,0.633,6.758
2004-11-16,0.250,2.000
2004-11-17,0.600,-0.875
2004-11-30,0.200,0.100
2004-12-01,0.200,2.400
2004-12-02,0.443,-0.193
2004-12-03,0.200,-0.600
2004-12-04,0.200,0.900
2004-12-05,0.244,3.911
2004-12-06,0.511,3.289
2004-12-07,0.200,4.200
2004-12-08,0.200,2.100
2004-12-09,0.200,1.000
2004-12-18,0.200,0.150
2004-12-19,0.460,-0.070
2004-12-20,0.200,-0.500
2004-12-24,0.314,0.971
2004-12-25,0.333,-0.100
2004-12-28,0.200,-0.560
2004-12-30,0.550,0.450
2004-12-31,0.686,1.029
2005-01-02,0.200,0.300
2005-01-03,0.371,0.557
2005-01-04,0.200,0.400
2005-01-05,0.444,0.433
2005-01-06,0.300,1.300
2005-01-07,0.400,4.010
2005-01-08,0.233,7.100
2005-01-09,0.842,3.332
2005-01-10,0.400,5.175
2005-01-11,0.300,7.775
2005-01-12,0.200,5.800
2005-01-13,0.200,3.500
2005-01-14,0.450,2.475
2005-01-16,0.300,0.000
2005-01-21,0.200,-0.150
2005-01-22,0.200,-1.375
2005-01-23,0.240,-1.880
2005-01-24,0.200,-3.900
2005-01-26,0.200,-3.700
2005-03-25,0.200,1.200
2005-04-07,0.760,7.320
2005-04-08,0.680,9.820
2005-04-09,0.625,8.650
2005-04-10,0.825,6.200
2005-04-11,0.300,5.500
2005-04-13,0.400,8.667
2005-04-20,0.300,-1.400
2005-04-21,0.422,0.000
2005-04-22,0.240,-1.980
2005-05-01,0.200,3.500
2005-05-03,0.680,6.640
2005-05-07,0.600,8.700
2005-05-08,0.300,9.100
2005-05-10,0.367,6.950
2005-05-11,0.333,7.767
2005-05-13,1.556,8.022
2005-05-14,0.200,7.300
2005-05-16,2.550,12.375
2005-05-17,3.320,10.520
2005-05-18,1.000,11.600
2005-05-19,0.486,8.114
2005-05-24,4.133,15.500
2005-05-29,0.300,11.250
2005-05-30,0.200,11.650
2005-05-31,0.700,11.360
2005-06-01,0.440,9.090
2005-06-02,0.600,8.833
2005-06-04,0.200,14.967
2005-06-05,1.600,15.167
2005-06-07,0.800,12.200
2005-06-08,0.200,10.500
2005-06-11,1.280,15.320
2005-06-12,0.967,14.883
2005-06-13,0.267,13.633
2005-06-25,0.933,15.883
2005-06-26,0.200,12.000
2005-06-28,1.200,13.000
2005-06-29,0.200,12.300
2005-07-01,0.700,11.500
2005-07-02,0.333,19.067
2005-07-06,1.100,20.750
2005-07-17,0.860,18.440
2005-07-19,3.750,17.675
2005-07-20,0.200,17.600
2005-07-22,0.200,14.500
2005-07-23,1.333,14.733
2005-07-26,0.267,18.200
2005-07-30,3.250,19.825
2005-08-01,4.400,18.700
2005-08-02,0.400,18.100
2005-08-04,0.700,17.800
2005-08-05,1.600,17.343
2005-08-06,2.182,16.127
2005-08-08,1.022,17.622
2005-08-09,1.511,16.311
2005-08-10,0.400,13.655
2005-08-11,0.240,14.480
2005-08-12,0.267,14.933
2005-08-14,0.200,16.800
2005-08-15,2.000,18.200
2005-08-26,1.400,15.600
2005-08-27,0.400,12.900
2005-08-28,0.867,13.300
2005-08-30,0.400,16.000
2005-09-10,0.333,11.667
2005-09-11,0.200,10.900
2005-09-12,0.822,14.411
2005-09-15,0.650,12.275
2005-09-17,0.200,9.700
2005-09-19,0.200,10.400
2005-09-29,0.820,12.820
2005-09-30,0.667,11.300
2005-10-16,0.450,5.625
2005-10-22,0.900,11.450
2005-10-23,0.500,8.200
2005-10-25,0.400,0.250
2005-10-26,1.240,6.400
2005-10-27,0.200,0.400
2005-11-06,0.300,7.200
2005-11-07,0.200,6.700
2005-11-11,0.840,4.640
2005-11-13,0.200,7.000
2005-11-14,0.400,7.400
2005-11-15,0.491,5.364
2005-11-16,0.943,1.629
2005-11-17,0.400,0.925
2005-11-25,0.250,-1.300
2005-11-26,0.325,-1.312
2005-11-27,0.200,0.300
2005-11-28,0.800,4.300
2006-04-01,0.200,5.000
2006-04-02,0.467,0.433
2006-04-05,0.350,2.688
2006-04-06,0.200,2.300
2006-04-07,0.200,0.950
2006-04-09,2.600,4.200
2006-04-10,0.533,4.300
2006-04-18,0.600,7.600
2006-04-19,0.800,7.200
2006-04-20,0.867,7.833
2006-05-14,0.250,8.175
2006-05-15,0.300,9.450
2006-05-19,1.309,10.918
2006-05-20,3.600,13.100
2006-05-21,2.600,11.940
2006-05-23,1.680,15.260
2006-05-25,2.000,9.900
2006-05-26,0.800,8.300
2006-05-27,0.400,9.100
2006-05-30,0.200,11.600
2006-05-31,1.800,10.217
2006-06-01,0.917,9.975
2006-06-04,0.200,12.400
2006-06-05,0.200,11.400
2006-06-07,2.000,9.500
2006-06-08,1.200,8.667
2006-06-15,0.700,14.400
2006-06-23,1.000,18.433
2006-06-24,0.500,13.050
2006-06-25,1.000,17.500
2006-07-10,0.667,23.400
2006-07-18,0.800,16.050
2006-07-21,0.200,16.400
2006-07-25,0.400,17.700
2006-07-29,1.178,16.233
2006-08-02,0.418,16.655
2006-08-03,1.000,16.391
2006-08-04,1.100,17.400
2006-08-16,0.200,19.550
2006-08-18,0.300,15.400
2006-08-20,0.400,22.100
2006-08-21,0.467,18.533
2006-08-22,1.846,16.815
2006-08-23,0.520,15.840
2006-08-24,1.533,15.722
2006-08-25,1.240,15.540
2006-08-26,0.200,13.300
2006-08-27,1.200,17.100
2006-08-28,0.700,15.400
2006-08-30,0.829,15.643
2006-08-31,0.815,16.315
2006-09-01,0.600,15.000
2006-09-04,1.246,15.792
2006-09-05,1.400,14.800
2006-09-06,0.200,15.100
2006-09-07,0.333,14.233
2006-09-08,0.825,13.100
2006-09-09,0.200,12.500
2006-09-20,1.657,15.229
2006-09-30,0.200,14.900
2006-10-01,2.400,13.267
2006-10-02,0.400,13.600
2006-10-03,0.467,12.317
2006-10-04,0.545,11.718
2006-10-05,1.000,11.450
2006-10-06,2.000,13.700
2006-10-08,0.367,12.733
2006-10-10,0.200,8.600
2006-10-14,0.571,9.971
2006-10-15,0.533,8.300
2006-10-17,0.300,8.600
2006-10-18,0.620,9.030
2006-10-19,0.300,6.450
2006-10-20,0.400,4.550
2006-10-21,0.367,5.250
2006-10-22,0.700,11.060
2006-10-23,0.200,12.200
2006-10-24,0.514,14.386
2006-10-25,0.700,12.750
2006-10-26,1.400,8.500
2006-10-27,0.925,9.900
2006-10-28,0.333,3.867
2006-10-30,0.533,0.833
2006-10-31,0.453,3.089
2006-11-01,0.300,5.100
2007-04-03,0.200,2.700
